P_prefix,amount,day,payee,payer,step
59,59,1,H3,H2,1
88,29,1,H8,H7,2
269,181,1,H13,H12,3
307,38,1,dealer_short,H22,4
497,190,1,H28,H27,5
539,42,1,H33,H32,6
637,98,1,H43,H42,7
661,24,1,H48,H47,8
685,24,1,H53,H52,9
700,15,1,H58,H57,10
733,33,1,dealer_short,H67,11
825,92,1,H78,H77,12
851,26,1,H83,H82,13
908,57,1,H88,H87,14
937,29,1,H93,H92,15
1004,67,1,H98,H97,16
25,25,3,H4,H3,1
227,202,3,H14,H13,2
358,131,3,H19,H18,3
494,136,3,H24,H23,4
577,83,3,dealer_short,H28,5
660,83,3,H34,H33,6
682,22,3,H39,H38,7
815,133,3,H44,H43,8
855,40,3,H54,H53,9
891,36,3,H64,H63,10
993,102,3,dealer_short,H68,11
1109,116,3,H74,H73,12
1176,67,3,dealer_short,H78,13
1228,52,3,dealer_short,H83,14
1291,63,3,H89,H88,15
1326,35,3,H94,H93,16
1441,115,3,dealer_short,H98,17
47,47,5,H5,H4,1
195,148,5,dealer_short,H9,2
295,100,5,H15,H14,3
308,13,5,dealer_short,H19,4
343,35,5,H25,H24,5
529,186,5,H30,H29,6
592,63,5,H35,H34,7
660,68,5,dealer_short,H39,8
759,99,5,H45,H44,9
791,32,5,dealer_short,H49,10
851,60,5,H55,H54,11
914,63,5,dealer_short,H59,12
992,78,5,H65,H64,13
1181,189,5,dealer_short,H69,14
1218,37,5,dealer_short,H74,15
1371,153,5,dealer_short,H79,16
1384,13,5,dealer_short,H89,17
1424,40,5,H95,H94,18
1550,126,5,dealer_short,H99,19
45,45,7,dealer_short,H5,1
226,181,7,H11,H10,2
309,83,7,H16,H15,3
332,23,7,dealer_short,H25,4
394,62,7,H31,H30,5
417,23,7,H36,H35,6
550,133,7,H41,H40,7
576,26,7,dealer_short,H45,8
693,117,7,dealer_short,H50,9
759,66,7,H56,H55,10
926,167,7,H61,H60,11
992,66,7,dealer_short,H65,12
1100,108,7,dealer_short,H80,13
1167,67,7,dealer_short,H85,14
1270,103,7,dealer_short,H90,15
1357,87,7,H96,H95,16
1471,114,7,H1,H100,17
34,34,9,H2,H1,1
126,92,9,dealer_short,H11,2
178,52,9,H17,H16,3
223,45,9,H22,H21,4
303,80,9,H32,H31,5
332,29,9,H37,H36,6
343,11,9,H42,H41,7
448,105,9,H52,H51,8
468,20,9,H57,H56,9
525,57,9,H62,H61,10
610,85,9,H72,H71,11
643,33,9,H77,H76,12
834,191,9,H82,H81,13
955,121,9,H87,H86,14
1059,104,9,H92,H91,15
1146,87,9,H97,H96,16
