P_prefix,amount,day,payee,payer,step
1,1,1,H2,H1,1
82,81,1,H4,H3,2
136,135,1,H5,H4,3
136,39,1,H6,H5,4
228,131,1,H7,H6,5
260,163,1,H8,H7,6
260,27,1,H9,H8,7
280,47,1,H10,H9,8
280,32,1,dealer_short,H10,9
484,204,1,H12,H11,10
484,33,1,H13,H12,11
484,9,1,H14,H13,12
490,6,1,H16,H15,13
496,12,1,H17,H16,14
531,47,1,H18,H17,15
686,202,1,H19,H18,16
686,1,1,H20,H19,17
1104,418,1,H23,H22,18
1130,26,1,dealer_short,H24,19
1315,185,1,dealer_short,H26,20
1551,236,1,H28,H27,21
1562,11,1,H30,H29,22
1578,27,1,H31,H30,23
1578,4,1,H32,H31,24
1589,15,1,H33,H32,25
1651,77,1,H34,H33,26
1651,6,1,H35,H34,27
1669,24,1,H36,H35,28
1669,8,1,dealer_short,H36,29
1676,7,1,H39,H38,30
1858,189,1,H40,H39,31
1858,1,1,H41,H40,32
1944,87,1,H42,H41,33
2047,103,1,H44,H43,34
2140,93,1,H46,H45,35
2140,3,1,H47,H46,36
2167,27,1,H49,H48,37
2243,76,1,H51,H50,38
2243,3,1,H52,H51,39
2280,40,1,H53,H52,40
2280,1,1,H54,H53,41
2294,15,1,H55,H54,42
2385,106,1,dealer_short,H55,43
2627,242,1,H57,H56,44
2627,82,1,H58,H57,45
2627,16,1,H59,H58,46
2627,3,1,H60,H59,47
2703,79,1,H61,H60,48
2717,93,1,H62,H61,49
2717,23,1,H63,H62,50
2717,4,1,H64,H63,51
2762,49,1,H65,H64,52
2762,20,1,H66,H65,53
2762,5,1,H67,H66,54
2840,83,1,H68,H67,55
2840,1,1,H69,H68,56
2880,41,1,H70,H69,57
2970,131,1,dealer_short,H70,58
3000,30,1,H73,H72,59
3000,16,1,H74,H73,60
3134,150,1,H75,H74,61
3134,55,1,H76,H75,62
3134,5,1,H77,H76,63
3207,78,1,H78,H77,64
3263,134,1,H79,H78,65
3263,2,1,H80,H79,66
3278,17,1,H81,H80,67
3329,68,1,H82,H81,68
3335,6,1,H84,H83,69
3335,6,1,H85,H84,70
3398,63,1,H87,H86,71
3495,160,1,dealer_short,H87,72
3744,249,1,H89,H88,73
3744,91,1,H90,H89,74
3744,15,1,dealer_short,H90,75
3803,59,1,H93,H92,76
3850,106,1,dealer_short,H93,77
4051,201,1,H96,H95,78
4051,25,1,H97,H96,79
4051,12,1,H98,H97,80
4221,182,1,H99,H98,81
4221,2,1,H100,H99,82
4245,27,1,H1,H100,83
