P_prefix,amount,day,payee,payer,step
2308,25,9,big_short,H1,21
2333,25,9,big_long,H6,22
2358,25,9,big_mid,H11,23
2383,25,9,big_short,H16,24
2408,25,9,big_long,H21,25
2433,25,9,big_mid,H26,26
2458,25,9,big_short,H31,27
2483,25,9,big_long,H36,28
2508,25,9,big_mid,H41,29
2533,25,9,big_short,H46,30
2558,25,9,big_long,H51,31
2583,25,9,big_mid,H56,32
2608,25,9,big_short,H61,33
2633,25,9,big_long,H66,34
2658,25,9,big_mid,H71,35
2683,25,9,big_short,H76,36
2708,25,9,big_long,H81,37
2733,25,9,big_mid,H86,38
2758,25,9,big_short,H91,39
2783,25,9,big_long,H96,40
