run_id,regime,day,bucket,side,trader_id,ticket_id,issuer_id,maturity_day,face_value,price,unit_price,is_passthrough,dealer_inventory_before,dealer_cash_before,dealer_bid_before,dealer_ask_before,vbt_mid_before,trader_cash_before,trader_safety_margin_before,dealer_inventory_after,dealer_cash_after,dealer_bid_after,dealer_ask_after,trader_cash_after,trader_safety_margin_after,is_liquidity_driven,reduces_margin_below_zero,hit_inventory_limit
balanced_active_80e7c49cc998,active,0,short,SELL,H4,TKT_PAY_b318e773d96e,H3,3,4032,3628.80,0.90,True,0,0E-13,0.90,1.10,1.0,1250,3199.80,0,0E-13,0.90,1.10,4878.80,3199.80,False,False,False
balanced_active_80e7c49cc998,active,0,short,SELL,H3,TKT_PAY_0d68d03effa0,H2,1,691,621.90,0.90,True,0,0E-13,0.90,1.10,1.0,1250,-2660.10,0,0E-13,0.90,1.10,1871.90,-2660.10,False,False,False
balanced_active_80e7c49cc998,active,0,mid,SELL,H5,TKT_PAY_e569ce69468b,H4,5,1179,1002.15,0.85,True,0,0E-13,0.85,1.15,1.0,1250,-2843.85,0,0E-13,0.85,1.15,2252.15,-2843.85,False,False,False
balanced_active_80e7c49cc998,active,0,mid,SELL,H1,TKT_PAY_3f460f646f53,H5,7,4596,3906.60,0.85,True,0,0E-13,0.85,1.15,1.0,1250,2657.60,0,0E-13,0.85,1.15,5156.60,2657.60,False,False,False
balanced_active_80e7c49cc998,active,0,short,BUY,big_mid,TKT_PAY_0d68d03effa0,H2,1,691,760.10,1.10,True,0,0E-13,0.90,1.10,1.0,666.6666666666666,1541.6666666666666,0,0E-13,0.90,1.10,-93.4333333333334,1403.4666666666666,False,False,False
balanced_active_80e7c49cc998,active,1,short,BUY,big_long,TKT_PAY_b318e773d96e,H3,3,4032,4435.20,1.10,True,0,0E-13,0.90,1.10,1.0,666.6666666666666,1116.6666666666666,0,0E-13,0.90,1.10,-3768.5333333333334,310.2666666666666,False,False,False
