G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.599051087573925,14932,692,692,692,0,1,0,692,2,1,,1,1
0,0.7364623375224962,14932,3202,0,3202,0,2,1,0,2,1,,0,
0,0.7875377765775758,14932,4138,0,4138,0,4,1,0,2,1,,0,
0,0.7609138731921713,14932,3602,0,3602,0,5,1,0,2,1,,0,
0,0.7469181273072513,14932,3364,0,3364,0,8,1,0,2,1,,0,
