run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_b148660c9c42,active,H2,PAY_756bfdef3185,1,4138,repaid,0,0,0,no_trade
balanced_active_b148660c9c42,active,H2,PAY_f8835de2c28d,1,500,repaid,0,0,0,no_trade
balanced_active_b148660c9c42,active,H3,PAY_c0878ba71395,3,2043,repaid,0,0,0,no_trade
balanced_active_b148660c9c42,active,H3,PAY_4e0bfa12f495,3,500,repaid,0,0,0,no_trade
balanced_active_b148660c9c42,active,H4,PAY_8c00b608b683,5,3538,repaid,0,0,0,no_trade
balanced_active_b148660c9c42,active,H4,PAY_04e5085770f2,5,500,repaid,0,0,0,no_trade
balanced_active_b148660c9c42,active,H5,PAY_d5693eafc114,7,1063,repaid,0,0,0,no_trade
balanced_active_b148660c9c42,active,H5,PAY_c74fbd6da8c2,7,500,repaid,0,0,0,no_trade
balanced_active_b148660c9c42,active,H1,PAY_9ebbdb1b8fb7,9,1716,repaid,0,0,0,no_trade
balanced_active_b148660c9c42,active,H1,PAY_8f7fda07a85c,9,500,repaid,0,0,0,no_trade
