run_id,regime,day,total_face_value,face_bucket_short,face_bucket_mid,face_bucket_long,total_cash,debt_to_money
balanced_active_d49ba57574e5,active,0,200,80,40,80,76875.00000000000014999999999,0.002601626016260162596549672814
balanced_active_d49ba57574e5,active,1,160,40,80,40,76875.40000000000014999999999,0.002081289983531793001243655350
balanced_active_d49ba57574e5,active,2,120,0,120,0,76875.40000000000014999999999,0.001560967487648844750932741512
balanced_active_d49ba57574e5,active,3,120,0,120,0,76875.40000000000014999999999,0.001560967487648844750932741512
balanced_active_d49ba57574e5,active,4,120,0,120,0,76875.40000000000014999999999,0.001560967487648844750932741512
balanced_active_d49ba57574e5,active,5,120,40,80,0,76875.40000000000014999999999,0.001560967487648844750932741512
balanced_active_d49ba57574e5,active,6,120,80,40,0,76875.40000000000014999999999,0.001560967487648844750932741512
balanced_active_d49ba57574e5,active,7,120,120,0,0,76875.40000000000014999999999,0.001560967487648844750932741512
balanced_active_d49ba57574e5,active,8,80,80,0,0,76875.40000000000014999999999,0.001040644991765896500621827675
balanced_active_d49ba57574e5,active,9,40,40,0,0,76875.40000000000014999999999,0.0005203224958829482503109138375
