P_prefix,amount,day,payee,payer,step
71,71,1,H3,H2,1
229,158,1,H13,H12,2
281,52,1,H23,H22,3
340,59,1,H33,H32,4
474,134,1,H43,H42,5
567,93,1,H53,H52,6
628,61,1,H63,H62,7
763,135,1,H73,H72,8
834,71,1,H83,H82,9
1214,380,1,H93,H92,10
1239,25,1,big_mid,H2,11
1264,25,1,big_long,H12,12
1289,25,1,big_short,H22,13
1314,25,1,big_mid,H32,14
1339,25,1,big_long,H42,15
1364,25,1,big_short,H52,16
1389,25,1,big_mid,H62,17
1414,25,1,big_long,H72,18
1439,25,1,big_short,H82,19
1464,25,1,big_mid,H92,20
366,366,2,H6,H5,1
443,77,2,H16,H15,2
494,51,2,H26,H25,3
745,251,2,H36,H35,4
784,39,2,H46,H45,5
933,149,2,H56,H55,6
1095,162,2,H66,H65,7
1221,126,2,H76,H75,8
1504,283,2,H86,H85,9
1693,189,2,H96,H95,10
1718,25,2,big_mid,H5,11
1743,25,2,big_long,H15,12
1768,25,2,big_short,H25,13
1793,25,2,big_mid,H35,14
1818,25,2,big_long,H45,15
1843,25,2,big_short,H55,16
1868,25,2,big_mid,H65,17
1893,25,2,big_long,H75,18
1918,25,2,big_short,H85,19
1943,25,2,big_mid,H95,20
8,8,3,H9,H8,1
190,182,3,H19,H18,2
336,146,3,H29,H28,3
347,11,3,H39,H38,4
681,334,3,H49,H48,5
833,152,3,H59,H58,6
900,67,3,H69,H68,7
1055,155,3,H79,H78,8
1463,408,3,H89,H88,9
1621,158,3,H99,H98,10
1646,25,3,big_mid,H8,11
1671,25,3,big_long,H18,12
1696,25,3,big_short,H28,13
1721,25,3,big_mid,H38,14
1746,25,3,big_long,H48,15
1771,25,3,big_short,H58,16
1796,25,3,big_mid,H68,17
1821,25,3,big_long,H78,18
1846,25,3,big_short,H88,19
1871,25,3,big_mid,H98,20
80,80,4,H2,H1,1
212,132,4,H12,H11,2
359,147,4,H22,H21,3
617,258,4,H32,H31,4
800,183,4,H42,H41,5
812,12,4,H52,H51,6
986,174,4,H62,H61,7
1028,42,4,H72,H71,8
1125,97,4,H82,H81,9
1154,29,4,H92,H91,10
1179,25,4,big_short,H1,11
1204,25,4,big_mid,H11,12
1229,25,4,big_long,H21,13
1254,25,4,big_short,H31,14
1279,25,4,big_mid,H41,15
1304,25,4,big_long,H51,16
1329,25,4,big_short,H61,17
1354,25,4,big_mid,H71,18
1379,25,4,big_long,H81,19
1404,25,4,big_short,H91,20
448,448,5,H5,H4,1
461,13,5,H15,H14,2
604,143,5,H25,H24,3
730,126,5,H35,H34,4
954,224,5,H45,H44,5
1056,102,5,H55,H54,6
1095,39,5,H65,H64,7
1242,147,5,H75,H74,8
1358,116,5,H85,H84,9
1395,37,5,H95,H94,10
1420,25,5,big_short,H4,11
1445,25,5,big_mid,H14,12
1470,25,5,big_long,H24,13
1495,25,5,big_short,H34,14
1520,25,5,big_mid,H44,15
1545,25,5,big_long,H54,16
1570,25,5,big_short,H64,17
1595,25,5,big_mid,H74,18
1620,25,5,big_long,H84,19
1645,25,5,big_short,H94,20
66,66,6,H8,H7,1
108,42,6,H18,H17,2
206,98,6,H28,H27,3
380,174,6,H38,H37,4
584,204,6,H48,H47,5
793,209,6,H58,H57,6
1111,318,6,H68,H67,7
1138,27,6,H78,H77,8
1192,54,6,H88,H87,9
1276,84,6,H98,H97,10
1301,25,6,big_short,H7,11
1326,25,6,big_mid,H17,12
1351,25,6,big_long,H27,13
1376,25,6,big_short,H37,14
1401,25,6,big_mid,H47,15
1426,25,6,big_long,H57,16
1451,25,6,big_short,H67,17
1476,25,6,big_mid,H77,18
1501,25,6,big_long,H87,19
1526,25,6,big_short,H97,20
