run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_7c443aa28f58,active,H2,PAY_75a3fc97f543,1,1456,repaid,0,0,0,no_trade
balanced_active_7c443aa28f58,active,H2,PAY_7f5c83209a1c,1,500,repaid,0,0,0,no_trade
balanced_active_7c443aa28f58,active,H1,PAY_6cf01c8dd706,2,5998,repaid,0,0,0,no_trade
balanced_active_7c443aa28f58,active,H1,PAY_46b8980d912a,2,500,repaid,0,0,0,no_trade
balanced_active_7c443aa28f58,active,H5,PAY_be48c9c7874e,8,2590,repaid,0,0,0,no_trade
balanced_active_7c443aa28f58,active,H5,PAY_0569c04a02c8,8,500,repaid,0,0,0,no_trade
balanced_active_7c443aa28f58,active,H4,PAY_bac61e6cbca3,9,1315,repaid,0,0,0,no_trade
balanced_active_7c443aa28f58,active,H4,PAY_73f57fc1ef69,9,500,repaid,0,0,0,no_trade
balanced_active_7c443aa28f58,active,H3,PAY_2aee8bb0c153,10,1139,repaid,0,0,0,no_trade
balanced_active_7c443aa28f58,active,H3,PAY_6d79861bb240,10,500,repaid,0,0,0,no_trade
