run_id,regime,day,total_face_value,face_bucket_short,face_bucket_mid,face_bucket_long,total_cash,debt_to_money
balanced_active_7c443aa28f58,active,0,200,80,40,80,78750.00000000000029999999999,0.002539682539682539672864701436
balanced_active_7c443aa28f58,active,1,160,40,80,40,78750.00000000000029999999999,0.002031746031746031738291761149
balanced_active_7c443aa28f58,active,2,120,0,120,0,78750.00000000000029999999999,0.001523809523809523803718820862
balanced_active_7c443aa28f58,active,3,120,0,120,0,78750.00000000000029999999999,0.001523809523809523803718820862
balanced_active_7c443aa28f58,active,4,120,0,120,0,78750.00000000000029999999999,0.001523809523809523803718820862
balanced_active_7c443aa28f58,active,5,120,40,80,0,78750.00000000000029999999999,0.001523809523809523803718820862
balanced_active_7c443aa28f58,active,6,120,80,40,0,78750.00000000000029999999999,0.001523809523809523803718820862
balanced_active_7c443aa28f58,active,7,120,120,0,0,78750.00000000000029999999999,0.001523809523809523803718820862
balanced_active_7c443aa28f58,active,8,80,80,0,0,78750.00000000000029999999999,0.001015873015873015869145880575
balanced_active_7c443aa28f58,active,9,40,40,0,0,78750.00000000000029999999999,0.0005079365079365079345729402873
balanced_active_7c443aa28f58,active,10,0,0,0,0,78750.00000000000029999999999,0E+23
balanced_active_7c443aa28f58,active,11,0,0,0,0,78750.00000000000029999999999,0E+23
balanced_active_7c443aa28f58,active,12,0,0,0,0,78750.00000000000029999999999,0E+23
