run_id,phase,seed,n_agents,kappa,concentration,mu,monotonicity,maturity_days,Q_total,S1,L0,scenario_yaml,events_jsonl,balances_csv,metrics_csv,metrics_html,run_html,default_handling,dealer_enabled,status,time_to_stability,phi_total,delta_total,error
comparison_treatment_9c864bf0a6f7,comparison_treatment,52,100,0.25,1,0,0,10,10000.0,10000.00000000000000000000000,40000,../runs/comparison_treatment_9c864bf0a6f7/scenario.yaml,../runs/comparison_treatment_9c864bf0a6f7/out/events.jsonl,../runs/comparison_treatment_9c864bf0a6f7/out/balances.csv,../runs/comparison_treatment_9c864bf0a6f7/out/metrics.csv,../runs/comparison_treatment_9c864bf0a6f7/out/metrics.html,../runs/comparison_treatment_9c864bf0a6f7/run.html,expel-agent,True,completed,1,0.9475271411338962605548854041,0.05247285886610373944511459590,
comparison_treatment_043d2269a900,comparison_treatment,53,100,0.25,1,0.25,0,10,10000.0,10000.00000000000000000000000,40000,../runs/comparison_treatment_043d2269a900/scenario.yaml,../runs/comparison_treatment_043d2269a900/out/events.jsonl,../runs/comparison_treatment_043d2269a900/out/balances.csv,../runs/comparison_treatment_043d2269a900/out/metrics.csv,../runs/comparison_treatment_043d2269a900/out/metrics.html,../runs/comparison_treatment_043d2269a900/run.html,expel-agent,True,completed,9,0.9369722557297949336550060314,0.06302774427020506634499396865,
comparison_treatment_a206b4295cf7,comparison_treatment,54,100,0.25,1,0.5,0,10,10000.0,10000.00000000000000000000000,40000,../runs/comparison_treatment_a206b4295cf7/scenario.yaml,../runs/comparison_treatment_a206b4295cf7/out/events.jsonl,../runs/comparison_treatment_a206b4295cf7/out/balances.csv,../runs/comparison_treatment_a206b4295cf7/out/metrics.csv,../runs/comparison_treatment_a206b4295cf7/out/metrics.html,../runs/comparison_treatment_a206b4295cf7/run.html,expel-agent,True,completed,9,0.8849788859843153026342248140,0.1150211140156846973657751860,
comparison_treatment_726d7c2f9a2b,comparison_treatment,55,100,0.25,1,0.75,0,10,10000.0,10000.00000000000000000000000,40000,../runs/comparison_treatment_726d7c2f9a2b/scenario.yaml,../runs/comparison_treatment_726d7c2f9a2b/out/events.jsonl,../runs/comparison_treatment_726d7c2f9a2b/out/balances.csv,../runs/comparison_treatment_726d7c2f9a2b/out/metrics.csv,../runs/comparison_treatment_726d7c2f9a2b/out/metrics.html,../runs/comparison_treatment_726d7c2f9a2b/run.html,expel-agent,True,completed,10,0.9534439416792357968828557064,0.04655605832076420311714429362,
comparison_treatment_45405ed32473,comparison_treatment,56,100,0.25,1,1,0,10,10000.0,10000.00000000000000000000000,40000,../runs/comparison_treatment_45405ed32473/scenario.yaml,../runs/comparison_treatment_45405ed32473/out/events.jsonl,../runs/comparison_treatment_45405ed32473/out/balances.csv,../runs/comparison_treatment_45405ed32473/out/metrics.csv,../runs/comparison_treatment_45405ed32473/out/metrics.html,../runs/comparison_treatment_45405ed32473/run.html,expel-agent,True,completed,10,0.9448352090032154340836012862,0.05516479099678456591639871383,
comparison_treatment_f4fdff12f698,comparison_treatment,57,100,0.25,2,0,0,10,10000.0,10000.00000000000000000000000,40000,../runs/comparison_treatment_f4fdff12f698/scenario.yaml,../runs/comparison_treatment_f4fdff12f698/out/events.jsonl,../runs/comparison_treatment_f4fdff12f698/out/balances.csv,../runs/comparison_treatment_f4fdff12f698/out/metrics.csv,../runs/comparison_treatment_f4fdff12f698/out/metrics.html,../runs/comparison_treatment_f4fdff12f698/run.html,expel-agent,True,completed,1,1,0,
comparison_treatment_32d1a84a69db,comparison_treatment,58,100,0.25,2,0.25,0,10,10000.0,10000.00000000000000000000000,40000,../runs/comparison_treatment_32d1a84a69db/scenario.yaml,../runs/comparison_treatment_32d1a84a69db/out/events.jsonl,../runs/comparison_treatment_32d1a84a69db/out/balances.csv,../runs/comparison_treatment_32d1a84a69db/out/metrics.csv,../runs/comparison_treatment_32d1a84a69db/out/metrics.html,../runs/comparison_treatment_32d1a84a69db/run.html,expel-agent,True,completed,9,1,0,
comparison_treatment_4dbecd20782f,comparison_treatment,59,100,0.25,2,0.5,0,10,10000.0,10000.00000000000000000000000,40000,../runs/comparison_treatment_4dbecd20782f/scenario.yaml,../runs/comparison_treatment_4dbecd20782f/out/events.jsonl,../runs/comparison_treatment_4dbecd20782f/out/balances.csv,../runs/comparison_treatment_4dbecd20782f/out/metrics.csv,../runs/comparison_treatment_4dbecd20782f/out/metrics.html,../runs/comparison_treatment_4dbecd20782f/run.html,expel-agent,True,completed,9,0.9536357236246605652217640551,0.04636427637533943477823594489,
comparison_treatment_88d890fa7a79,comparison_treatment,60,100,0.25,2,0.75,0,10,10000.0,10000.00000000000000000000000,40000,../runs/comparison_treatment_88d890fa7a79/scenario.yaml,../runs/comparison_treatment_88d890fa7a79/out/events.jsonl,../runs/comparison_treatment_88d890fa7a79/out/balances.csv,../runs/comparison_treatment_88d890fa7a79/out/metrics.csv,../runs/comparison_treatment_88d890fa7a79/out/metrics.html,../runs/comparison_treatment_88d890fa7a79/run.html,expel-agent,True,completed,10,1,0,
comparison_treatment_1f6e7c3a3d09,comparison_treatment,61,100,0.25,2,1,0,10,10000.0,10000.00000000000000000000000,40000,../runs/comparison_treatment_1f6e7c3a3d09/scenario.yaml,../runs/comparison_treatment_1f6e7c3a3d09/out/events.jsonl,../runs/comparison_treatment_1f6e7c3a3d09/out/balances.csv,../runs/comparison_treatment_1f6e7c3a3d09/out/metrics.csv,../runs/comparison_treatment_1f6e7c3a3d09/out/metrics.html,../runs/comparison_treatment_1f6e7c3a3d09/run.html,expel-agent,True,completed,10,1,0,
comparison_treatment_b9502137c023,comparison_treatment,62,100,0.25,5,0,0,10,10000.0,10000.00000000000000000000000,40000,../runs/comparison_treatment_b9502137c023/scenario.yaml,../runs/comparison_treatment_b9502137c023/out/events.jsonl,../runs/comparison_treatment_b9502137c023/out/balances.csv,../runs/comparison_treatment_b9502137c023/out/metrics.csv,../runs/comparison_treatment_b9502137c023/out/metrics.html,../runs/comparison_treatment_b9502137c023/run.html,expel-agent,True,completed,1,1,0,
comparison_treatment_5046c846f5d9,comparison_treatment,63,100,0.25,5,0.25,0,10,10000.0,10000.00000000000000000000000,40000,../runs/comparison_treatment_5046c846f5d9/scenario.yaml,../runs/comparison_treatment_5046c846f5d9/out/events.jsonl,../runs/comparison_treatment_5046c846f5d9/out/balances.csv,../runs/comparison_treatment_5046c846f5d9/out/metrics.csv,../runs/comparison_treatment_5046c846f5d9/out/metrics.html,../runs/comparison_treatment_5046c846f5d9/run.html,expel-agent,True,completed,9,1,0,
comparison_treatment_7e283b34d895,comparison_treatment,64,100,0.25,5,0.5,0,10,10000.0,10000.00000000000000000000000,40000,../runs/comparison_treatment_7e283b34d895/scenario.yaml,../runs/comparison_treatment_7e283b34d895/out/events.jsonl,../runs/comparison_treatment_7e283b34d895/out/balances.csv,../runs/comparison_treatment_7e283b34d895/out/metrics.csv,../runs/comparison_treatment_7e283b34d895/out/metrics.html,../runs/comparison_treatment_7e283b34d895/run.html,expel-agent,True,completed,9,1,0,
comparison_treatment_f2c315bfb342,comparison_treatment,65,100,0.25,5,0.75,0,10,10000.0,10000.00000000000000000000000,40000,../runs/comparison_treatment_f2c315bfb342/scenario.yaml,../runs/comparison_treatment_f2c315bfb342/out/events.jsonl,../runs/comparison_treatment_f2c315bfb342/out/balances.csv,../runs/comparison_treatment_f2c315bfb342/out/metrics.csv,../runs/comparison_treatment_f2c315bfb342/out/metrics.html,../runs/comparison_treatment_f2c315bfb342/run.html,expel-agent,True,completed,10,1,0,
comparison_treatment_3051ebb4ac4c,comparison_treatment,66,100,0.25,5,1,0,10,10000.0,10000.00000000000000000000000,40000,../runs/comparison_treatment_3051ebb4ac4c/scenario.yaml,../runs/comparison_treatment_3051ebb4ac4c/out/events.jsonl,../runs/comparison_treatment_3051ebb4ac4c/out/balances.csv,../runs/comparison_treatment_3051ebb4ac4c/out/metrics.csv,../runs/comparison_treatment_3051ebb4ac4c/out/metrics.html,../runs/comparison_treatment_3051ebb4ac4c/run.html,expel-agent,True,completed,10,1,0,
comparison_treatment_baf3b053542b,comparison_treatment,67,100,0.5,0.2,0,0,10,10000.0,9999.999999999999999999999996,20000,../runs/comparison_treatment_baf3b053542b/scenario.yaml,../runs/comparison_treatment_baf3b053542b/out/events.jsonl,../runs/comparison_treatment_baf3b053542b/out/balances.csv,../runs/comparison_treatment_baf3b053542b/out/metrics.csv,../runs/comparison_treatment_baf3b053542b/out/metrics.html,../runs/comparison_treatment_baf3b053542b/run.html,expel-agent,True,completed,1,0.3492573263749498193496587716,0.6507426736250501806503412284,
comparison_treatment_430071c5bb50,comparison_treatment,68,100,0.5,0.2,0.25,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_430071c5bb50/scenario.yaml,../runs/comparison_treatment_430071c5bb50/out/events.jsonl,../runs/comparison_treatment_430071c5bb50/out/balances.csv,../runs/comparison_treatment_430071c5bb50/out/metrics.csv,../runs/comparison_treatment_430071c5bb50/out/metrics.html,../runs/comparison_treatment_430071c5bb50/run.html,expel-agent,True,completed,9,0.3011044176706827309236947791,0.6988955823293172690763052209,
comparison_treatment_b31c95d54218,comparison_treatment,69,100,0.5,0.2,0.5,0,10,10000.0,10000.00000000000000000000000,20000,../runs/comparison_treatment_b31c95d54218/scenario.yaml,../runs/comparison_treatment_b31c95d54218/out/events.jsonl,../runs/comparison_treatment_b31c95d54218/out/balances.csv,../runs/comparison_treatment_b31c95d54218/out/metrics.csv,../runs/comparison_treatment_b31c95d54218/out/metrics.html,../runs/comparison_treatment_b31c95d54218/run.html,expel-agent,True,completed,9,0.3507028112449799196787148594,0.6492971887550200803212851406,
comparison_treatment_18e0a3ead849,comparison_treatment,70,100,0.5,0.2,0.75,0,10,10000.0,10000.08668081506584427249791,20000,../runs/comparison_treatment_18e0a3ead849/scenario.yaml,../runs/comparison_treatment_18e0a3ead849/out/events.jsonl,../runs/comparison_treatment_18e0a3ead849/out/balances.csv,../runs/comparison_treatment_18e0a3ead849/out/metrics.csv,../runs/comparison_treatment_18e0a3ead849/out/metrics.html,../runs/comparison_treatment_18e0a3ead849/run.html,expel-agent,True,completed,10,0.3356418749372678911974304928,0.6643581250627321088025695072,
comparison_treatment_09c356b1d3fb,comparison_treatment,71,100,0.5,0.2,1,0,10,10000.0,9999.999999999999999999999996,20000,../runs/comparison_treatment_09c356b1d3fb/scenario.yaml,../runs/comparison_treatment_09c356b1d3fb/out/events.jsonl,../runs/comparison_treatment_09c356b1d3fb/out/balances.csv,../runs/comparison_treatment_09c356b1d3fb/out/metrics.csv,../runs/comparison_treatment_09c356b1d3fb/out/metrics.html,../runs/comparison_treatment_09c356b1d3fb/run.html,expel-agent,True,completed,10,0.4146512794781736076266934270,0.5853487205218263923733065730,
