kappa,concentration,mu,monotonicity,seed,face_value,outside_mid_ratio,big_entity_share,delta_passive,delta_active,trading_effect,trading_relief_ratio,phi_passive,phi_active,passive_run_id,passive_status,active_run_id,active_status,dealer_total_pnl,dealer_total_return,total_trades
0.25,0.2,0,0,42,20,0.75,0.25,0.9070544968238047475760615179,0.9070544968238047475760615179,0E-28,0,0.09294550317619525242393848211,0.09294550317619525242393848211,balanced_passive_d2f9bb3b1ca4,completed,balanced_active_b37abddb8aac,completed,0.0,0.0,11
0.25,0.2,0.25,0,43,20,0.75,0.25,0.8157085561497326203208556150,0.8157085561497326203208556150,0E-28,0,0.1842914438502673796791443850,0.1842914438502673796791443850,balanced_passive_3be4254cbd09,completed,balanced_active_6318fefd3623,completed,0.0,0.0,11
0.25,0.2,0.5,0,44,20,0.75,0.25,0.9561960810539691031899953187,0.9561960810539691031899953187,0E-28,0,0.04380391894603089681000468135,0.04380391894603089681000468135,balanced_passive_d532b1e884b6,completed,balanced_active_af6a514d46d0,completed,0.0,0.0,10
0.25,0.2,0.75,0,45,20,0.75,0.25,0.9530874097834803528468323978,0.9530874097834803528468323978,0E-28,0,0.04691259021651964715316760225,0.04691259021651964715316760225,balanced_passive_2c6570672add,completed,balanced_active_037adc3ee4c1,completed,0.0,0.0,12
0.25,0.2,1,0,46,20,0.75,0.25,0.9678432945580960021393234390,0.9678432945580960021393234390,0E-28,0,0.03215670544190399786067656104,0.03215670544190399786067656104,balanced_passive_536b6cc06e94,completed,balanced_active_7d21671aa830,completed,0.0,0.0,10
0.25,0.5,0,0,47,20,0.75,0.25,0.6908567988763293425188950572,0.6908567988763293425188950572,0E-28,0,0.3091432011236706574811049428,0.3091432011236706574811049428,balanced_passive_be716fc6d676,completed,balanced_active_c76253f6cf40,completed,0.0,0.0,6
0.25,0.5,0.25,0,48,20,0.75,0.25,0.9422858289306493680197953588,0.9422858289306493680197953588,0E-28,0,0.05771417106935063198020464122,0.05771417106935063198020464122,balanced_passive_35ebb48fc1e8,completed,balanced_active_59b162022a73,completed,0.0,0.0,6
0.25,0.5,0.5,0,49,20,0.75,0.25,0.7599465061852223336676696757,0.8480106987629555332664660649,-0.0880641925777331995987963892,-0.1158820941487021557413110427,0.2400534938147776663323303243,0.1519893012370444667335339351,balanced_passive_5529643eb0b9,completed,balanced_active_4765a8727d91,completed,0.0,0.0,8
0.25,0.5,0.75,0,50,20,0.75,0.25,0.9325842696629213483146067416,0.9325842696629213483146067416,0E-28,0,0.06741573033707865168539325843,0.06741573033707865168539325843,balanced_passive_9bfb57f60772,completed,balanced_active_27d729205e63,completed,0.0,0.0,10
0.25,0.5,1,0,51,20,0.75,0.25,0.7401859158697251387681401725,0.7401859158697251387681401725,0E-28,0,0.2598140841302748612318598275,0.2598140841302748612318598275,balanced_passive_8d03edc68902,completed,balanced_active_b78ad8efed64,completed,0.0,0.0,12
