run_id,regime,day,total_face_value,face_bucket_short,face_bucket_mid,face_bucket_long,total_cash,debt_to_money
balanced_active_9a06e9ec56c1,active,0,200,80,80,40,39375.00000000000015000000001,0.005079365079365079345729402871
balanced_active_9a06e9ec56c1,active,1,160,40,120,0,38927.30000000000015000000001,0.004110225985362457693789862183
balanced_active_9a06e9ec56c1,active,2,160,80,80,0,38927.30000000000015000000001,0.004110225985362457693789862183
balanced_active_9a06e9ec56c1,active,3,120,40,80,0,38927.30000000000015000000001,0.003082669489021843270342396637
balanced_active_9a06e9ec56c1,active,4,120,80,40,0,38927.30000000000015000000001,0.003082669489021843270342396637
balanced_active_9a06e9ec56c1,active,5,80,40,40,0,38927.30000000000015000000001,0.002055112992681228846894931091
balanced_active_9a06e9ec56c1,active,6,80,80,0,0,38927.30000000000015000000001,0.002055112992681228846894931091
balanced_active_9a06e9ec56c1,active,7,40,40,0,0,38927.30000000000015000000001,0.001027556496340614423447465546
balanced_active_9a06e9ec56c1,active,8,40,40,0,0,38927.30000000000015000000001,0.001027556496340614423447465546
balanced_active_9a06e9ec56c1,active,9,0,0,0,0,38927.30000000000015000000001,0E+23
balanced_active_9a06e9ec56c1,active,10,0,0,0,0,38927.30000000000015000000001,0E+23
balanced_active_9a06e9ec56c1,active,11,0,0,0,0,38927.30000000000015000000001,0E+23
