G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.0924918758089617,51875,1331,1331,1331,0,1,0,1331,13,10,,1,1
0,0.09506744451538299,51875,1687,1687,1687,0,2,0,1687,13,10,,1,1
0,0.0904513422317776,51875,1464,1464,1464,0,3,0,1464,13,10,,1,1
0,0.08503982998163917,51875,1315,1315,1315,0,4,0,1315,13,10,,1,1
0,0.08630459776847652,51875,1546,1546,1546,0,5,0,1546,13,10,,1,1
0,0.08930944620570351,51875,1835,1835,1835,0,6,0,1835,13,10,,1,1
0,0.0850003763784862,51875,1304,1304,1304,0,7,0,1304,13,10,,1,1
0,0.08241444442231516,51875,1363,1363,1363,0,8,0,1363,13,10,,1,1
0,0.08736206156410192,51875,1592,1592,1592,0,9,0,1592,13,10,,1,1
0,0.09071882812157361,51875,1510,1510,1510,0,10,0,1510,13,10,,1,1
