run_id,regime,day,total_face_value,face_bucket_short,face_bucket_mid,face_bucket_long,total_cash,debt_to_money
balanced_active_c96492b7d8fa,active,0,200,80,80,40,78374.99999999999999999999999,0.002551834130781499202551834131
balanced_active_c96492b7d8fa,active,1,160,40,120,0,78374.99999999999999999999999,0.002041467304625199362041467305
balanced_active_c96492b7d8fa,active,2,160,80,80,0,78374.99999999999999999999999,0.002041467304625199362041467305
balanced_active_c96492b7d8fa,active,3,120,40,80,0,78374.99999999999999999999999,0.001531100478468899521531100479
balanced_active_c96492b7d8fa,active,4,120,80,40,0,78374.99999999999999999999999,0.001531100478468899521531100479
balanced_active_c96492b7d8fa,active,5,80,40,40,0,78374.99999999999999999999999,0.001020733652312599681020733652
balanced_active_c96492b7d8fa,active,6,80,80,0,0,78374.99999999999999999999999,0.001020733652312599681020733652
balanced_active_c96492b7d8fa,active,7,40,40,0,0,78374.99999999999999999999999,0.0005103668261562998405103668262
balanced_active_c96492b7d8fa,active,8,40,40,0,0,78374.99999999999999999999999,0.0005103668261562998405103668262
balanced_active_c96492b7d8fa,active,9,0,0,0,0,78374.99999999999999999999999,0E+23
balanced_active_c96492b7d8fa,active,10,0,0,0,0,78374.99999999999999999999999,0E+23
balanced_active_c96492b7d8fa,active,11,0,0,0,0,78374.99999999999999999999999,0E+23
