P_prefix,amount,day,payee,payer,step
8,8,1,H13,H12,1
66,66,2,H2,H1,1
77,11,2,H22,H21,2
93,16,2,dealer_short,H31,3
99,6,2,H52,H51,4
161,62,2,H62,H61,5
47,47,3,dealer_short,H10,1
54,7,3,H31,H30,2
58,4,3,H51,H50,3
72,14,3,H81,H80,4
92,20,3,H91,H90,5
4,4,4,H30,H29,1
45,41,4,H50,H49,2
80,35,4,dealer_short,H59,3
81,1,4,H70,H69,4
186,105,4,H90,H89,5
14,14,5,dealer_short,H8,1
42,28,5,H29,H28,2
48,6,5,H39,H38,3
198,150,5,dealer_short,H48,4
209,11,5,dealer_short,H58,5
305,96,5,H69,H68,6
388,83,5,H79,H78,7
481,93,5,dealer_short,H88,8
232,232,6,dealer_short,H27,1
242,10,6,H38,H37,2
348,106,6,H58,H57,3
374,26,6,dealer_short,H97,4
17,17,7,dealer_short,H6,1
113,96,7,H37,H36,2
133,20,7,dealer_short,H76,3
158,25,7,dealer_short,H86,4
25,25,8,H6,H5,1
28,3,8,dealer_short,H15,2
43,15,8,dealer_short,H25,3
83,40,8,dealer_short,H45,4
155,72,8,dealer_short,H55,5
226,71,8,dealer_short,H65,6
260,34,8,H76,H75,7
342,82,8,dealer_short,H95,8
44,44,9,H5,H4,1
57,13,9,dealer_short,H34,2
75,18,9,dealer_short,H44,3
99,24,9,dealer_short,H74,4
28,28,10,dealer_short,H3,1
42,14,10,dealer_short,H13,2
47,5,10,dealer_short,H23,3
78,31,10,H34,H33,4
79,1,10,dealer_short,H53,5
139,60,10,H74,H73,6
159,20,10,dealer_short,H83,7
