P_prefix,amount,day,payee,payer,step
95,95,1,dealer_short,H7,1
162,67,1,H13,H12,2
232,70,1,H18,H17,3
277,45,1,H23,H22,4
320,43,1,H28,H27,5
391,71,1,H33,H32,6
483,92,1,dealer_short,H37,7
518,35,1,H48,H47,8
612,94,1,H53,H52,9
687,75,1,H58,H57,10
868,181,1,H68,H67,11
906,38,1,dealer_short,H72,12
967,61,1,H78,H77,13
1088,121,1,H83,H82,14
1130,42,1,H88,H87,15
1251,121,1,H93,H92,16
174,174,3,H6,H5,1
363,189,3,dealer_short,H10,2
411,48,3,H16,H15,3
465,54,3,H21,H20,4
612,147,3,H26,H25,5
636,24,3,H31,H30,6
737,101,3,H36,H35,7
881,144,3,H41,H40,8
971,90,3,H46,H45,9
1096,125,3,dealer_short,H50,10
1181,85,3,dealer_short,H55,11
1216,35,3,H61,H60,12
1294,78,3,dealer_short,H65,13
1362,68,3,H71,H70,14
1436,74,3,H76,H75,15
1553,117,3,H81,H80,16
1619,66,3,dealer_short,H85,17
1744,125,3,dealer_short,H90,18
1820,76,3,H96,H95,19
1920,100,3,H1,H100,20
119,119,5,H4,H3,1
264,145,5,H9,H8,2
427,163,5,H14,H13,3
530,103,5,H19,H18,4
595,65,5,H24,H23,5
666,71,5,H29,H28,6
758,92,5,H34,H33,7
901,143,5,H39,H38,8
994,93,5,dealer_short,H43,9
1121,127,5,H49,H48,10
1184,63,5,dealer_short,H53,11
1352,168,5,dealer_short,H58,12
1488,136,5,H64,H63,13
1558,70,5,H69,H68,14
1663,105,5,dealer_short,H78,15
1748,85,5,dealer_short,H83,16
1844,96,5,dealer_short,H88,17
2036,192,5,H94,H93,18
2063,27,5,dealer_short,H98,19
68,68,7,H2,H1,1
148,80,7,H7,H6,2
372,224,7,H12,H11,3
426,54,7,H17,H16,4
506,80,7,H22,H21,5
556,50,7,H27,H26,6
652,96,7,H32,H31,7
703,51,7,H37,H36,8
753,50,7,H42,H41,9
833,80,7,H47,H46,10
1016,183,7,H52,H51,11
1127,111,7,H57,H56,12
1190,63,7,H62,H61,13
1311,121,7,dealer_short,H66,14
1405,94,7,H72,H71,15
1504,99,7,H77,H76,16
1572,68,7,dealer_short,H81,17
1707,135,7,H87,H86,18
1893,186,7,dealer_short,H91,19
1971,78,7,H97,H96,20
75,75,9,dealer_short,H4,1
151,76,9,dealer_short,H9,2
231,80,9,H15,H14,3
329,98,9,H20,H19,4
374,45,9,dealer_short,H24,5
413,39,9,H30,H29,6
446,33,9,dealer_short,H34,7
511,65,9,dealer_short,H39,8
627,116,9,H45,H44,9
688,61,9,dealer_short,H49,10
832,144,9,H55,H54,11
978,146,9,H60,H59,12
1027,49,9,H65,H64,13
1124,97,9,H70,H69,14
1393,269,9,H75,H74,15
1572,179,9,dealer_short,H79,16
1695,123,9,H85,H84,17
1842,147,9,dealer_short,H89,18
1923,81,9,H95,H94,19
2050,127,9,H100,H99,20
