run_id,regime,day,total_face_value,face_bucket_short,face_bucket_mid,face_bucket_long,total_cash,debt_to_money
balanced_active_6631dae289ba,active,0,200,200,0,0,21562.49999999999999999999999,0.009275362318840579710144927541
balanced_active_6631dae289ba,active,1,0,0,0,0,29474.99999999999999999999999,0E+23
