P_prefix,amount,day,payee,payer,step
82,82,2,H52,H51,1
107,25,2,dealer_short,H91,2
76,76,3,H11,H10,1
183,107,3,H21,H20,2
287,104,3,dealer_short,H60,3
362,75,3,H71,H70,4
456,94,3,H81,H80,5
61,61,4,dealer_short,H9,1
153,92,4,H30,H29,2
247,94,4,dealer_short,H59,3
336,89,4,H100,H99,4
105,105,5,H19,H18,1
241,136,5,H39,H38,2
347,106,5,dealer_short,H58,3
430,83,5,H69,H68,4
493,63,5,H79,H78,5
596,103,5,H89,H88,6
687,91,5,dealer_short,H98,7
61,61,6,H8,H7,1
184,123,6,dealer_short,H17,2
374,190,6,dealer_short,H37,3
451,77,6,H48,H47,4
528,77,6,dealer_short,H57,5
624,96,6,dealer_short,H67,6
728,104,6,dealer_short,H77,7
802,74,6,dealer_short,H87,8
50,50,7,dealer_short,H6,1
219,169,7,dealer_short,H16,2
285,66,7,dealer_short,H26,3
392,107,7,dealer_short,H46,4
452,60,7,dealer_short,H56,5
516,64,7,dealer_short,H66,6
572,56,7,dealer_short,H86,7
599,27,7,dealer_short,H96,8
149,149,8,dealer_short,H5,1
271,122,8,dealer_short,H25,2
355,84,8,dealer_short,H55,3
442,87,8,dealer_short,H75,4
549,107,8,dealer_short,H95,5
92,92,9,dealer_short,H24,1
156,64,9,dealer_short,H34,2
236,80,9,dealer_short,H44,3
385,149,9,dealer_short,H54,4
473,88,9,dealer_short,H74,5
521,48,9,dealer_short,H84,6
596,75,9,dealer_short,H94,7
35,35,10,dealer_short,H3,1
74,39,10,dealer_short,H13,2
121,47,10,dealer_short,H63,3
181,60,10,dealer_short,H93,4
