kappa,concentration,mu,monotonicity,seed,face_value,outside_mid_ratio,big_entity_share,delta_passive,delta_active,trading_effect,trading_relief_ratio,phi_passive,phi_active,passive_run_id,passive_status,active_run_id,active_status,dealer_total_pnl,dealer_total_return,total_trades
0.25,0.2,0,0,42,20,0.75,0.25,0.4861497874835116517660852997,0.4861497874835116517660852997,0E-28,0,0.5138502125164883482339147003,0.5138502125164883482339147003,balanced_passive_bb0a6d402125,completed,balanced_active_03838298ec6f,completed,0.0,0.0,11
0.25,0.2,0.25,0,43,20,0.75,0.25,0.5526161512531144657775172212,0.5526161512531144657775172212,0E-28,0,0.4473838487468855342224827788,0.4473838487468855342224827788,balanced_passive_0fc79cafe832,completed,balanced_active_3f57c82c3f36,completed,6.519922222164869,0.0,18
0.25,0.2,0.5,0,44,20,0.75,0.25,0.5646437994722955145118733509,0.5646437994722955145118733509,0E-28,0,0.4353562005277044854881266491,0.4353562005277044854881266491,balanced_passive_c6de764fd57d,completed,balanced_active_add115fc6e5d,completed,6.5046035206211545,0.0,18
0.25,0.2,0.75,0,45,20,0.75,0.25,0.4675467546754675467546754675,0.4773744041070773744041070774,-0.0098276494316098276494316099,-0.02101960784313725490196078447,0.5324532453245324532453245325,0.5226255958929226255958929226,balanced_passive_175a63d489ff,completed,balanced_active_b3195321f155,completed,8.475237527989869,0.0,20
0.25,0.2,1,0,46,20,0.75,0.25,0.5973902206583095081005791364,0.5973902206583095081005791364,0E-28,0,0.4026097793416904918994208636,0.4026097793416904918994208636,balanced_passive_308533fb4d3a,completed,balanced_active_1813f7388f96,completed,8.471531301364319,0.0,19
0.25,0.5,0,0,47,20,0.75,0.25,0.1425844346549192364170337739,0.1425844346549192364170337739,0E-28,0,0.8574155653450807635829662261,0.8574155653450807635829662261,balanced_passive_a9f2e29dafe5,completed,balanced_active_82f062b297c1,completed,0.0,0.0,8
0.25,0.5,0.25,0,48,20,0.75,0.25,0.2217078189300411522633744856,0.2186948853615520282186948854,0.0030129335684891240446796002,0.01358965860125952933377527329,0.7782921810699588477366255144,0.7813051146384479717813051146,balanced_passive_63f4288245f2,completed,balanced_active_ad7b922becf6,completed,7.362423993849539,0.0,16
0.25,0.5,0.5,0,49,20,0.75,0.25,0.2252258870197605230294571366,0.2153823551017409828840079336,0.0098435319180195401454492030,0.04370515329419439008480104384,0.7747741129802394769705428634,0.7846176448982590171159920664,balanced_passive_576747a97589,completed,balanced_active_c48a87638f9a,completed,7.365333572633762,0.0,18
0.25,0.5,0.75,0,50,20,0.75,0.25,0.3713907868635662331937403571,0.2907942105649842039526853280,0.0805965762985820292410550291,0.2170128585558852621167161228,0.6286092131364337668062596429,0.7092057894350157960473146720,balanced_passive_183b27db428c,completed,balanced_active_d43a54d4f5c7,completed,8.414244443873795,0.0,17
0.25,0.5,1,0,51,20,0.75,0.25,0.3351938895417156286721504113,0.3285840188014101057579318449,0.0066098707403055229142185664,0.01971954425942156003505696759,0.6648061104582843713278495887,0.6714159811985898942420681551,balanced_passive_9ab9e049e2e9,completed,balanced_active_60658efbff5c,completed,8.42913349185076,0.0,18
