P_prefix,amount,day,payee,payer,step
17,17,1,H2,H1,1
17,11,1,H3,H2,2
199,193,1,H4,H3,3
199,137,1,H5,H4,4
250,188,1,H6,H5,5
250,119,1,H7,H6,6
272,141,1,H8,H7,7
272,37,1,H9,H8,8
275,40,1,H10,H9,9
325,90,1,H11,H10,10
367,132,1,H12,H11,11
367,112,1,H13,H12,12
367,84,1,H14,H13,13
377,94,1,H15,H14,14
377,94,1,H16,H15,15
377,19,1,H17,H16,16
469,111,1,H18,H17,17
469,99,1,H19,H18,18
469,66,1,H20,H19,19
478,75,1,H21,H20,20
537,134,1,H22,H21,21
537,100,1,H23,H22,22
537,21,1,H24,H23,23
577,61,1,H25,H24,24
577,58,1,H26,H25,25
577,38,1,H27,H26,26
725,186,1,H28,H27,27
725,17,1,H29,H28,28
870,162,1,H30,H29,29
870,56,1,H31,H30,30
870,17,1,H32,H31,31
870,12,1,H33,H32,32
1040,182,1,dealer_short,H33,33
1450,410,1,H35,H34,34
1450,94,1,H36,H35,35
1450,80,1,H37,H36,36
1458,88,1,H38,H37,37
1458,87,1,H39,H38,38
1458,36,1,H40,H39,39
1460,38,1,H41,H40,40
1627,205,1,H42,H41,41
1627,127,1,H43,H42,42
1627,59,1,H44,H43,43
1643,75,1,H45,H44,44
1652,84,1,H46,H45,45
1652,45,1,H47,H46,46
1685,78,1,H48,H47,47
1695,88,1,H49,H48,48
1719,112,1,H50,H49,49
1719,25,1,H51,H50,50
1719,7,1,H52,H51,51
1821,109,1,H53,H52,52
1861,149,1,H54,H53,53
1870,158,1,H55,H54,54
1902,190,1,H56,H55,55
1920,208,1,H57,H56,56
1977,265,1,H58,H57,57
1977,120,1,H59,H58,58
2016,159,1,H60,H59,59
2028,171,1,H61,H60,60
2028,102,1,H62,H61,61
2028,57,1,H63,H62,62
2069,98,1,H64,H63,63
2180,209,1,H65,H64,64
2180,119,1,H66,H65,65
2180,94,1,H67,H66,66
2180,94,1,H68,H67,67
2180,45,1,H69,H68,68
2267,132,1,H70,H69,69
2267,47,1,H71,H70,70
2279,59,1,H72,H71,71
2294,74,1,H73,H72,72
2338,118,1,H74,H73,73
2338,69,1,H75,H74,74
2467,198,1,H76,H75,75
2467,53,1,H77,H76,76
2582,168,1,H78,H77,77
2582,49,1,H79,H78,78
2638,105,1,H80,H79,79
2638,11,1,H81,H80,80
2684,57,1,H82,H81,81
2698,71,1,H83,H82,82
2698,58,1,H84,H83,83
2698,38,1,H85,H84,84
2854,194,1,H86,H85,85
2854,50,1,H87,H86,86
2854,33,1,H88,H87,87
2989,168,1,H89,H88,88
2989,35,1,H90,H89,89
3145,191,1,H91,H90,90
3145,145,1,H92,H91,91
3195,195,1,H93,H92,92
3195,16,1,H94,H93,93
3222,43,1,H95,H94,94
3376,197,1,H96,H95,95
3448,269,1,H97,H96,96
3448,25,1,H98,H97,97
3474,51,1,H99,H98,98
3474,38,1,H100,H99,99
3469,5,1,H1,H100,100
