P_prefix,amount,day,payee,payer,step
51,51,1,H18,H17,1
116,65,1,H23,H22,2
126,10,1,H28,H27,3
181,55,1,dealer_short,H32,4
185,4,1,H48,H47,5
194,9,1,H53,H52,6
201,7,1,H58,H57,7
280,79,1,H63,H62,8
417,137,1,H73,H72,9
485,68,1,H78,H77,10
658,173,1,H83,H82,11
762,104,1,H88,H87,12
780,18,1,H93,H92,13
807,27,1,H98,H97,14
41,41,3,dealer_short,H5,1
246,205,3,H16,H15,2
348,102,3,H21,H20,3
368,20,3,H26,H25,4
550,182,3,H31,H30,5
719,169,3,H41,H40,6
739,20,3,H46,H45,7
757,18,3,dealer_short,H50,8
860,103,3,H61,H60,9
935,75,3,H71,H70,10
1024,89,3,H81,H80,11
1110,86,3,dealer_short,H85,12
1119,9,3,H96,H95,13
1127,8,3,dealer_short,H100,14
136,136,5,H4,H3,1
137,1,5,H9,H8,2
178,41,5,dealer_short,H13,3
218,40,5,H19,H18,4
297,79,5,H24,H23,5
391,94,5,dealer_short,H28,6
395,4,5,dealer_short,H38,7
444,49,5,H49,H48,8
461,17,5,H54,H53,9
561,100,5,dealer_short,H58,10
692,131,5,H64,H63,11
781,89,5,H74,H73,12
843,62,5,H79,H78,13
941,98,5,H84,H83,14
1133,192,5,H89,H88,15
1174,41,5,H94,H93,16
1203,29,5,dealer_short,H98,17
129,129,7,H7,H6,1
142,13,7,H12,H11,2
232,90,7,H17,H16,3
286,54,7,H22,H21,4
373,87,7,H27,H26,5
403,30,7,H32,H31,6
426,23,7,H37,H36,7
508,82,7,H42,H41,8
584,76,7,H47,H46,9
685,101,7,H52,H51,10
713,28,7,H57,H56,11
795,82,7,H62,H61,12
917,122,7,H67,H66,13
993,76,7,dealer_short,H71,14
1015,22,7,H77,H76,15
1107,92,7,dealer_short,H81,16
1131,24,7,H92,H91,17
1155,24,7,H97,H96,18
26,26,9,H5,H4,1
44,18,9,dealer_short,H9,2
151,107,9,dealer_short,H14,3
251,100,9,dealer_short,H19,4
281,30,9,H25,H24,5
448,167,9,dealer_short,H29,6
492,44,9,dealer_short,H34,7
508,16,9,H50,H49,8
509,1,9,dealer_short,H54,9
639,130,9,dealer_short,H59,10
677,38,9,dealer_short,H64,11
866,189,9,H70,H69,12
868,2,9,dealer_short,H74,13
878,10,9,H80,H79,14
915,37,9,H85,H84,15
916,1,9,dealer_short,H89,16
936,20,9,H95,H94,17
