P_prefix,amount,day,payee,payer,step
70,70,1,H13,H12,1
120,50,1,H23,H22,2
214,94,1,H33,H32,3
242,28,1,H43,H42,4
298,56,1,H53,H52,5
452,154,1,H63,H62,6
480,28,1,H73,H72,7
523,43,1,H83,H82,8
527,4,1,H93,H92,9
145,145,2,H2,H1,1
198,53,2,H12,H11,2
207,9,2,H22,H21,3
275,68,2,H32,H31,4
345,70,2,H52,H51,5
450,105,2,dealer_short,H61,6
487,37,2,H92,H91,7
79,79,3,H21,H20,1
124,45,3,H41,H40,2
217,93,3,H51,H50,3
234,17,3,dealer_short,H60,4
327,93,3,dealer_short,H70,5
335,8,3,dealer_short,H80,6
348,13,3,H91,H90,7
24,24,4,dealer_short,H9,1
61,37,4,H20,H19,2
84,23,4,dealer_short,H29,3
116,32,4,H40,H39,4
241,125,4,H60,H59,5
394,153,4,H70,H69,6
513,119,4,H80,H79,7
603,90,4,H90,H89,8
623,20,4,dealer_short,H99,9
191,191,5,H9,H8,1
208,17,5,H19,H18,2
220,12,5,H29,H28,3
246,26,5,H39,H38,4
416,170,5,dealer_short,H48,5
656,240,5,dealer_short,H58,6
736,80,5,dealer_short,H68,7
801,65,5,H89,H88,8
77,77,6,H18,H17,1
94,17,6,H38,H37,2
223,129,6,dealer_short,H57,3
371,148,6,H68,H67,4
411,40,6,dealer_short,H77,5
483,72,6,H88,H87,6
591,108,6,H98,H97,7
6,6,7,dealer_short,H6,1
44,38,7,H17,H16,2
48,4,7,dealer_short,H26,3
67,19,7,H37,H36,4
124,57,7,dealer_short,H56,5
214,90,7,dealer_short,H66,6
244,30,7,H77,H76,7
291,47,7,H87,H86,8
312,21,7,dealer_short,H96,9
201,201,8,H6,H5,1
362,161,8,H16,H15,2
428,66,8,H26,H25,3
492,64,8,H36,H35,4
508,16,8,dealer_short,H45,5
595,87,8,H56,H55,6
606,11,8,H66,H65,7
620,14,8,H76,H75,8
632,12,8,H86,H85,9
671,39,8,H96,H95,10
137,137,9,dealer_short,H14,1
160,23,9,H25,H24,2
240,80,9,H35,H34,3
276,36,9,H45,H44,4
308,32,9,H55,H54,5
316,8,9,H65,H64,6
477,161,9,H75,H74,7
515,38,9,H85,H84,8
593,78,9,H95,H94,9
1,1,10,dealer_short,H3,1
125,124,10,dealer_short,H13,2
235,110,10,H34,H33,3
251,16,10,H44,H43,4
375,124,10,H54,H53,5
465,90,10,H64,H63,6
