run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_b9a18f2d8d05,active,H2,PAY_4589557ab252,1,24,repaid,0,0,0,no_trade
balanced_active_b9a18f2d8d05,active,H2,PAY_0e44d621fd33,1,500,repaid,0,0,0,no_trade
balanced_active_b9a18f2d8d05,active,H5,PAY_42f92f12a851,3,3327,repaid,0,0,0,no_trade
balanced_active_b9a18f2d8d05,active,H5,PAY_b8b14a5a3dac,3,500,repaid,0,0,0,no_trade
balanced_active_b9a18f2d8d05,active,H3,PAY_2023144d2c2d,5,159,repaid,1,0,-3659.70,hold_to_maturity
balanced_active_b9a18f2d8d05,active,H3,PAY_91f6164ff965,5,500,repaid,1,0,-3659.70,hold_to_maturity
