P_prefix,amount,day,payee,payer,step
10,10,1,H3,H2,1
13,3,1,H8,H7,2
135,122,1,H13,H12,3
154,19,1,H18,H17,4
173,19,1,H23,H22,5
183,10,1,H28,H27,6
213,30,1,H33,H32,7
451,238,1,dealer_short,H37,8
505,54,1,H48,H47,9
543,38,1,H53,H52,10
756,213,1,H58,H57,11
767,11,1,H63,H62,12
888,121,1,H68,H67,13
911,23,1,H73,H72,14
999,88,1,H78,H77,15
1035,36,1,dealer_short,H82,16
1044,9,1,H88,H87,17
1047,3,1,H93,H92,18
1216,169,1,H98,H97,19
16,16,3,H9,H8,1
64,48,3,H14,H13,2
120,56,3,dealer_short,H18,3
264,144,3,dealer_short,H23,4
280,16,3,H29,H28,5
530,250,3,dealer_short,H38,6
593,63,3,H44,H43,7
709,116,3,H49,H48,8
788,79,3,H54,H53,9
794,6,3,H59,H58,10
924,130,3,dealer_short,H63,11
997,73,3,dealer_short,H68,12
1054,57,3,H74,H73,13
1092,38,3,H79,H78,14
1193,101,3,H89,H88,15
1352,159,3,H94,H93,16
1431,79,3,dealer_short,H98,17
134,134,5,H5,H4,1
242,108,5,H10,H9,2
323,81,5,H15,H14,3
524,201,5,H25,H24,4
559,35,5,H30,H29,5
577,18,5,H35,H34,6
893,316,5,H40,H39,7
939,46,5,H45,H44,8
1052,113,5,H50,H49,9
1089,37,5,H55,H54,10
1141,52,5,dealer_short,H59,11
1409,268,5,H70,H69,12
1437,28,5,H75,H74,13
1462,25,5,H80,H79,14
1571,109,5,dealer_short,H84,15
1709,138,5,dealer_short,H89,16
1736,27,5,H95,H94,17
1996,260,5,H100,H99,18
30,30,7,H6,H5,1
182,152,7,H11,H10,2
366,184,7,H16,H15,3
419,53,7,H21,H20,4
465,46,7,H26,H25,5
558,93,7,H40,H30,6
629,71,7,H36,H35,7
629,8,7,dealer_short,H40,8
687,58,7,H46,H45,9
801,114,7,H56,H55,10
810,9,7,H66,H65,11
823,13,7,H71,H70,12
890,67,7,H76,H75,13
906,16,7,H81,H80,14
1111,205,7,H86,H85,15
1112,1,7,H96,H95,16
1265,153,7,H1,H100,17
173,173,9,H2,H1,1
230,57,9,H7,H6,2
251,21,9,H12,H11,3
278,27,9,H17,H16,4
467,189,9,H22,H21,5
490,23,9,H27,H26,6
703,213,9,H32,H31,7
843,140,9,H65,H36,8
1049,206,9,H42,H41,9
1058,9,9,H47,H46,10
1221,163,9,H52,H51,11
1293,72,9,H91,H56,12
1295,2,9,H62,H61,13
1316,21,9,H67,H66,14
1330,14,9,H72,H71,15
1339,9,9,H77,H76,16
1377,38,9,H82,H81,17
1443,66,9,H87,H86,18
1450,7,9,H97,H96,19
