run_id,regime,day,bucket,side,trader_id,ticket_id,issuer_id,maturity_day,face_value,price,unit_price,is_passthrough,dealer_inventory_before,dealer_cash_before,dealer_bid_before,dealer_ask_before,vbt_mid_before,trader_cash_before,trader_safety_margin_before,dealer_inventory_after,dealer_cash_after,dealer_bid_after,dealer_ask_after,trader_cash_after,trader_safety_margin_after,is_liquidity_driven,reduces_margin_below_zero,hit_inventory_limit
balanced_active_5515e1f7fe43,active,0,long,SELL,H4,TKT_PAY_18606b7fc3f5,H3,10,1129,903.20,0.80,True,0,0,0.80,1.20,1.0,1250,-6580.80,0,0,0.80,1.20,2153.20,-6580.80,False,False,False
balanced_active_5515e1f7fe43,active,0,short,SELL,H3,TKT_PAY_79e212123e38,H2,1,0,0.00,0.90,True,0,0,0.90,1.10,1.0,1250,-379.00,0,0,0.90,1.10,1250.00,-379.00,False,False,False
balanced_active_5515e1f7fe43,active,0,long,SELL,H5,TKT_PAY_8442eea41876,H4,9,8234,6587.20,0.80,True,0,0,0.80,1.20,1.0,1250,6452.20,0,0,0.80,1.20,7837.20,6452.20,False,False,False
balanced_active_5515e1f7fe43,active,0,mid,SELL,H1,TKT_PAY_2f8c06adf536,H5,8,885,752.25,0.85,True,0,0,0.85,1.15,1.0,1250,-746.75,0,0,0.85,1.15,2002.25,-746.75,False,False,False
balanced_active_5515e1f7fe43,active,0,short,BUY,big_long,TKT_PAY_79e212123e38,H2,1,0,0.00,1.10,True,0,0,0.90,1.10,1.0,625,1025.00,0,0,0.90,1.10,625.00,1025.00,False,False,False
balanced_active_5515e1f7fe43,active,1,mid,BUY,big_mid,TKT_PAY_2f8c06adf536,H5,8,885,1017.75,1.15,True,0,0,0.85,1.15,1.0,625,1050.00,0,0,0.85,1.15,-392.75,784.50,False,False,False
