G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.18218472854403103,2500,823,51,823,0,1,0.9380315917375456,51,10,10,,0.061968408262454436,1
0,0.2965461246256219,2500,851,49,851,0,2,0.9424206815511164,49,10,10,,0.057579318448883664,1
0,0.2582762702264549,2500,1086,19,1086,0,3,0.9825046040515654,19,9,9,,0.017495395948434623,1
0,0.45402960382346247,2500,1912,15,1912,0,4,0.9921548117154811,15,9,9,,0.007845188284518828,1
0,0.18096413268936698,2500,514,32,514,0,5,0.9377431906614786,32,9,9,,0.0622568093385214,1
0,0.17203898326246136,2500,738,65,738,0,6,0.9119241192411924,65,10,10,,0.08807588075880758,1
0,0.4931880574694226,2500,1185,17,1185,0,7,0.9856540084388186,17,9,9,,0.014345991561181435,1
0,0.12203494606481202,2500,761,2,761,0,8,0.9973718791064389,2,10,10,,0.002628120893561104,1
0,0.24995632806358634,2500,856,85,856,0,9,0.9007009345794392,85,9,9,,0.09929906542056074,1
0,0.1904393270134817,2500,1222,101,1222,0,10,0.9173486088379705,101,10,10,,0.08265139116202946,1
