run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_91df2eef7550,active,H2,PAY_a62a75d5e374,1,3668,repaid,0,1,3722.15,sell_before
balanced_active_91df2eef7550,active,H2,PAY_cf41a312b124,1,500,repaid,0,1,3722.15,sell_before
