run_id,regime,day,total_face_value,face_bucket_short,face_bucket_mid,face_bucket_long,total_cash,debt_to_money
balanced_active_8cd33b590f41,active,0,200,80,80,40,39375.00000000000015000000001,0.005079365079365079345729402871
balanced_active_8cd33b590f41,active,1,160,40,120,0,39375.00000000000015000000001,0.004063492063492063476583522297
balanced_active_8cd33b590f41,active,2,160,80,80,0,39375.00000000000015000000001,0.004063492063492063476583522297
balanced_active_8cd33b590f41,active,3,120,40,80,0,39375.00000000000015000000001,0.003047619047619047607437641723
balanced_active_8cd33b590f41,active,4,120,80,40,0,39375.00000000000015000000001,0.003047619047619047607437641723
balanced_active_8cd33b590f41,active,5,80,40,40,0,39375.00000000000015000000001,0.002031746031746031738291761148
balanced_active_8cd33b590f41,active,6,80,80,0,0,39375.00000000000015000000001,0.002031746031746031738291761148
balanced_active_8cd33b590f41,active,7,40,40,0,0,39375.00000000000015000000001,0.001015873015873015869145880574
balanced_active_8cd33b590f41,active,8,40,40,0,0,39375.00000000000015000000001,0.001015873015873015869145880574
balanced_active_8cd33b590f41,active,9,0,0,0,0,39375.00000000000015000000001,0E+23
balanced_active_8cd33b590f41,active,10,0,0,0,0,39375.00000000000015000000001,0E+23
balanced_active_8cd33b590f41,active,11,0,0,0,0,39375.00000000000015000000001,0E+23
