run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_070f34e07037,active,H2,PAY_07fdeb9388c2,1,3202,repaid,0,0,0,no_trade
balanced_active_070f34e07037,active,H2,PAY_38a51029ddfa,1,500,repaid,0,0,0,no_trade
balanced_active_070f34e07037,active,H5,PAY_ef8738133a8f,3,3434,repaid,0,0,0,no_trade
balanced_active_070f34e07037,active,H5,PAY_f5e1d9cda7ea,3,500,repaid,0,0,0,no_trade
balanced_active_070f34e07037,active,H3,PAY_105ecb94b606,5,2702,repaid,0,0,0,no_trade
balanced_active_070f34e07037,active,H3,PAY_21a772bf7e1d,5,500,repaid,0,0,0,no_trade
balanced_active_070f34e07037,active,H1,PAY_d7b33abc50d3,7,1596,repaid,0,0,0,no_trade
balanced_active_070f34e07037,active,H1,PAY_f538c52656c0,7,500,repaid,0,0,0,no_trade
balanced_active_070f34e07037,active,H4,PAY_4d1ce052c922,9,1563,repaid,0,0,0,no_trade
balanced_active_070f34e07037,active,H4,PAY_f01e1094851d,9,500,repaid,0,0,0,no_trade
