kappa,concentration,mu,monotonicity,seed,face_value,outside_mid_ratio,big_entity_share,delta_passive,delta_active,trading_effect,trading_relief_ratio,phi_passive,phi_active,passive_run_id,passive_status,active_run_id,active_status,dealer_total_pnl,dealer_total_return,total_trades
0.25,0.2,0,0,42,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_2426b2aae24b,completed,balanced_active_f06237ee7d7b,completed,0.0,0.0,0
0.25,0.2,0.25,0,43,20,1.0,0.25,0.9663955194025870116015468729,1,-0.0336044805974129883984531271,-0.03477300952118117841865599560,0.03360448059741298839845312708,0,balanced_passive_d45e9fa72bf0,completed,balanced_active_40b3f8990b54,completed,0.0,0.0,2
0.25,0.2,0.5,0,44,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_50c996c5d1a0,completed,balanced_active_7b591202ff17,completed,0.0,0.0,2
0.25,0.2,0.75,0,45,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_1ddeae766a1c,completed,balanced_active_cf001ab62212,completed,0.0,0.0,0
0.25,0.2,1,0,46,20,1.0,0.25,0.8728497132951060141352180291,0.8728497132951060141352180291,0E-28,0,0.1271502867048939858647819709,0.1271502867048939858647819709,balanced_passive_af0ec76d7ab1,completed,balanced_active_3a7123ed3fa6,completed,0.0,0.0,2
0.25,0.5,0,0,47,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_5fcb960b211c,completed,balanced_active_1aaf45699b76,completed,0.0,0.0,0
0.25,0.5,0.25,0,48,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_ec8f1c38080a,completed,balanced_active_2a782f37bb1f,completed,0.0,0.0,0
0.25,0.5,0.5,0,49,20,1.0,0.25,0.8345669133826765353070614123,1,-0.1654330866173234646929385877,-0.1982262703739213806327900287,0.1654330866173234646929385877,0,balanced_passive_525763cab8dd,completed,balanced_active_baedd3137738,completed,0.0,0.0,2
0.25,0.5,0.75,0,50,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_926796177955,completed,balanced_active_c57241d69a5e,completed,0.0,0.0,0
0.25,0.5,1,0,51,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_6a27d7076b37,completed,balanced_active_9b9a25a0daaf,completed,0.0,0.0,0
0.25,1,0,0,52,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_e9a0b889f039,completed,balanced_active_dcb50972d87e,completed,0.0,0.0,0
0.25,1,0.25,0,53,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_a95d269afd49,completed,balanced_active_9a51a36e9bb0,completed,0.0,0.0,0
0.25,1,0.5,0,54,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_bf43c78da3d4,completed,balanced_active_889711b324f9,completed,0.0,0.0,0
0.25,1,0.75,0,55,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_cc82793b8c95,completed,balanced_active_0f5bd0e4b871,completed,0.0,0.0,0
0.25,1,1,0,56,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_8cb1ca1c273d,completed,balanced_active_32b0717045f9,completed,0.0,0.0,0
0.25,2,0,0,57,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_4631c8a58a0c,completed,balanced_active_ab9b47c3573a,completed,0.0,0.0,0
0.25,2,0.25,0,58,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_038e7fff3f66,completed,balanced_active_e08f97225bf5,completed,0.0,0.0,0
0.25,2,0.5,0,59,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_5d0d9ac4abd6,completed,balanced_active_47aa48b2a6f5,completed,0.0,0.0,0
0.25,2,0.75,0,60,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_aff1db0e95c0,completed,balanced_active_a8607ceb0132,completed,0.0,0.0,0
0.25,2,1,0,61,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_af6093c5f99c,completed,balanced_active_552f2d625434,completed,0.0,0.0,0
0.25,5,0,0,62,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_9d9a84f01342,completed,balanced_active_e1654de56fdd,completed,0.0,0.0,0
0.25,5,0.25,0,63,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_798c8bbc4b74,completed,balanced_active_9833164b0ea0,completed,0.0,0.0,0
0.25,5,0.5,0,64,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_99318e093fab,completed,balanced_active_f96792cd0c5a,completed,0.0,0.0,0
0.25,5,0.75,0,65,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_13b2994d192c,completed,balanced_active_877400ddc0d4,completed,0.0,0.0,0
0.25,5,1,0,66,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_156aab9e1f84,completed,balanced_active_b286fada1c19,completed,0.0,0.0,0
0.5,0.2,0,0,67,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_4681a1766852,completed,balanced_active_33aea155f12f,completed,0.0,0.0,3
