P_prefix,amount,day,payee,payer,step
249,249,1,H3,H2,1
522,273,1,H13,H12,2
765,243,1,H23,H22,3
832,67,1,H33,H32,4
882,50,1,H43,H42,5
923,41,1,dealer_short,H52,6
1008,85,1,H63,H62,7
1121,113,1,H73,H72,8
1436,315,1,H83,H82,9
1553,117,1,H93,H92,10
103,103,2,dealer_short,H1,1
266,163,2,dealer_short,H11,2
308,42,2,dealer_short,H21,3
371,63,2,H32,H31,4
426,55,2,H42,H41,5
500,74,2,H52,H51,6
537,37,2,H62,H61,7
578,41,2,H72,H71,8
734,156,2,dealer_short,H81,9
890,156,2,H92,H91,10
87,87,3,H11,H10,1
179,92,3,H21,H20,2
195,16,3,H31,H30,3
279,84,3,H41,H40,4
469,190,3,H51,H50,5
549,80,3,H61,H60,6
656,107,3,H71,H70,7
890,234,3,H81,H80,8
1010,120,3,H91,H90,9
1204,194,3,H1,H100,10
62,62,4,H10,H9,1
432,370,4,H20,H19,2
601,169,4,H30,H29,3
620,19,4,H40,H39,4
709,89,4,H50,H49,5
817,108,4,H60,H59,6
870,53,4,H70,H69,7
1041,171,4,H90,H89,8
1083,42,4,H100,H99,9
26,26,5,H9,H8,1
240,214,5,dealer_short,H18,2
419,179,5,H29,H28,3
432,13,5,H39,H38,4
512,80,5,H49,H48,5
614,102,5,H59,H58,6
689,75,5,H69,H68,7
703,14,5,dealer_short,H78,8
727,24,5,H89,H88,9
784,57,5,H99,H98,10
41,41,6,H8,H7,1
81,40,6,dealer_short,H17,2
189,108,6,H28,H27,3
213,24,6,H38,H37,4
408,195,6,H48,H47,5
442,34,6,H58,H57,6
466,24,6,H68,H67,7
574,108,6,H78,H77,8
611,37,6,H88,H87,9
688,77,6,H98,H97,10
21,21,7,H7,H6,1
109,88,7,H17,H16,2
286,177,7,H27,H26,3
355,69,7,H37,H36,4
478,123,7,H47,H46,5
606,128,7,H57,H56,6
778,172,7,H67,H66,7
882,104,7,H77,H76,8
903,21,7,H87,H86,9
985,82,7,H97,H96,10
94,94,8,H6,H5,1
251,157,8,H16,H15,2
319,68,8,H26,H25,3
383,64,8,H36,H35,4
464,81,8,H46,H45,5
501,37,8,H56,H55,6
575,74,8,H66,H65,7
645,70,8,H76,H75,8
683,38,8,H86,H85,9
785,102,8,H96,H95,10
28,28,9,H5,H4,1
174,146,9,H15,H14,2
280,106,9,H25,H24,3
329,49,9,H35,H34,4
348,19,9,H45,H44,5
372,24,9,H55,H54,6
412,40,9,H65,H64,7
504,92,9,H75,H74,8
601,97,9,H85,H84,9
699,98,9,H95,H94,10
29,29,10,H4,H3,1
84,55,10,H14,H13,2
137,53,10,H24,H23,3
192,55,10,H34,H33,4
353,161,10,H44,H43,5
590,237,10,H54,H53,6
780,190,10,H64,H63,7
857,77,10,H74,H73,8
951,94,10,H84,H83,9
1036,85,10,H94,H93,10
