run_id,regime,day,total_face_value,face_bucket_short,face_bucket_mid,face_bucket_long,total_cash,debt_to_money
balanced_active_2accb5c7250c,active,0,200,80,40,80,22500.00000000000029999999999,0.008888888888888888770370370374
balanced_active_2accb5c7250c,active,1,100,20,40,40,30702.31666666666689999999999,0.003257083205990427407704215110
