P_prefix,amount,day,payee,payer,step
7,7,1,dealer_short,H62,1
75,68,1,H73,H72,2
109,109,2,H86,H85,1
152,43,2,H96,H95,2
14,14,3,H29,H28,1
48,34,3,H69,H68,2
73,25,3,H89,H88,3
128,55,3,dealer_short,H98,4
24,24,4,H12,H11,1
123,99,4,H32,H31,2
138,15,4,H62,H61,3
197,59,4,H92,H91,4
2,2,5,H15,H14,1
47,45,5,H45,H44,2
133,86,5,dealer_short,H84,3
199,66,5,dealer_short,H94,4
87,87,6,dealer_short,H7,1
117,30,6,H18,H17,2
232,115,6,H28,H27,3
278,46,6,H78,H77,4
366,88,6,H88,H87,5
36,36,7,H11,H10,1
120,84,7,dealer_short,H20,2
137,17,7,dealer_short,H40,3
162,25,7,dealer_short,H50,4
164,2,7,H61,H60,5
192,28,7,H71,H70,6
233,41,7,dealer_short,H80,7
296,63,7,dealer_short,H100,8
7,7,8,H14,H13,1
54,47,8,dealer_short,H23,2
92,38,8,dealer_short,H33,3
121,29,8,dealer_short,H43,4
162,41,8,dealer_short,H53,5
164,2,8,dealer_short,H73,6
22,22,9,dealer_short,H16,1
28,6,9,dealer_short,H36,2
35,7,9,dealer_short,H56,3
36,1,9,dealer_short,H66,4
88,52,9,dealer_short,H96,5
98,98,10,dealer_short,H9,1
101,3,10,H40,H39,2
202,101,10,H50,H49,3
232,30,10,H60,H59,4
278,46,10,dealer_short,H69,5
348,70,10,dealer_short,H79,6
352,4,10,dealer_short,H89,7
