P_prefix,amount,day,payee,payer,step
68,68,1,H23,H22,1
120,52,1,H33,H32,2
190,70,1,H43,H42,3
289,99,1,H53,H52,4
343,54,1,H63,H62,5
450,107,1,H73,H72,6
552,102,1,H83,H82,7
649,97,1,dealer_short,H92,8
49,49,2,H6,H5,1
150,101,2,H16,H15,2
243,93,2,dealer_short,H25,3
313,70,2,H66,H65,4
386,73,2,H86,H85,5
520,134,2,dealer_short,H95,6
166,166,3,dealer_short,H8,1
252,86,3,H19,H18,2
315,63,3,H39,H38,3
363,48,3,dealer_short,H48,4
408,45,3,dealer_short,H58,5
447,39,3,H69,H68,6
595,148,3,H79,H78,7
710,115,3,H89,H88,8
806,96,3,dealer_short,H98,9
44,44,4,H2,H1,1
184,140,4,H12,H11,2
305,121,4,H22,H21,3
371,66,4,H32,H31,4
438,67,4,H42,H41,5
550,112,4,H52,H51,6
657,107,4,H62,H61,7
716,59,4,dealer_short,H71,8
786,70,4,dealer_short,H81,9
877,91,4,H92,H91,10
86,86,5,H5,H4,1
263,177,5,dealer_short,H14,2
333,70,5,H25,H24,3
370,37,5,H35,H34,4
405,35,5,dealer_short,H44,5
444,39,5,H55,H54,6
553,109,5,H65,H64,7
640,87,5,H75,H74,8
736,96,5,H85,H84,9
825,89,5,dealer_short,H94,10
99,99,6,dealer_short,H7,1
173,74,6,H18,H17,2
220,47,6,dealer_short,H27,3
309,89,6,H38,H37,4
396,87,6,H48,H47,5
416,20,6,H58,H57,6
481,65,6,H68,H67,7
564,83,6,dealer_short,H77,8
633,69,6,dealer_short,H87,9
729,96,6,H98,H97,10
137,137,7,dealer_short,H10,1
293,156,7,dealer_short,H20,2
368,75,7,H31,H30,3
549,181,7,H41,H40,4
767,218,7,dealer_short,H50,5
807,40,7,dealer_short,H60,6
955,148,7,H71,H70,7
1056,101,7,H81,H80,8
1186,130,7,H91,H90,9
1343,157,7,H1,H100,10
107,107,8,H4,H3,1
210,103,8,dealer_short,H13,2
319,109,8,H24,H23,3
374,55,8,H34,H33,4
417,43,8,H44,H43,5
519,102,8,H54,H53,6
610,91,8,dealer_short,H63,7
676,66,8,H74,H73,8
770,94,8,H84,H83,9
936,166,8,H94,H93,10
154,154,9,H17,H16,1
256,102,9,H27,H26,2
408,152,9,H37,H36,3
499,91,9,H47,H46,4
545,46,9,H57,H56,5
672,127,9,H67,H66,6
690,18,9,H77,H76,7
826,136,9,H87,H86,8
952,126,9,H97,H96,9
166,166,10,dealer_short,H9,1
220,54,10,dealer_short,H19,2
285,65,10,H30,H29,3
385,100,10,dealer_short,H39,4
524,139,10,dealer_short,H49,5
672,148,10,H60,H59,6
754,82,10,dealer_short,H69,7
814,60,10,dealer_short,H79,8
903,89,10,dealer_short,H89,9
1043,140,10,dealer_short,H99,10
