P_prefix,amount,day,payee,payer,step
27,27,1,H3,H2,1
34,7,1,H13,H12,2
222,188,1,H23,H22,3
229,7,1,dealer_short,H32,4
244,15,1,H43,H42,5
274,30,1,dealer_short,H57,6
281,7,1,dealer_short,H67,7
325,44,1,H73,H72,8
349,24,1,H78,H77,9
354,5,1,H88,H87,10
73,73,3,H4,H3,1
102,29,3,dealer_short,H8,2
114,12,3,H14,H13,3
173,59,3,H19,H18,4
213,40,3,H24,H23,5
235,22,3,H29,H28,6
320,85,3,H39,H38,7
415,95,3,dealer_short,H63,8
422,7,3,H74,H73,9
442,20,3,dealer_short,H78,10
535,93,3,dealer_short,H83,11
694,159,3,H94,H93,12
14,14,5,H5,H4,1
49,35,5,H15,H14,2
67,18,5,dealer_short,H19,3
106,39,5,H25,H24,4
137,31,5,dealer_short,H34,5
179,42,5,dealer_short,H39,6
248,69,5,dealer_short,H54,7
356,108,5,H65,H64,8
359,3,5,dealer_short,H74,9
369,10,5,dealer_short,H89,10
419,50,5,dealer_short,H94,11
630,211,5,dealer_short,H99,12
2,2,7,H6,H5,1
130,128,7,H99,H10,2
177,47,7,dealer_short,H15,3
229,52,7,dealer_short,H20,4
272,43,7,dealer_short,H25,5
304,32,7,H46,H45,6
358,54,7,dealer_short,H50,7
439,81,7,H61,H60,8
456,17,7,H66,H65,9
599,143,7,H71,H70,10
727,128,7,H86,H85,11
855,128,7,dealer_short,H100,12
17,17,9,H7,H6,1
99,82,9,H12,H11,2
147,48,9,H37,H36,3
199,52,9,H42,H41,4
238,39,9,dealer_short,H46,5
259,21,9,H62,H61,6
271,12,9,H67,H66,7
305,34,9,H72,H71,8
398,93,9,H77,H76,9
505,107,9,H82,H81,10
535,30,9,H87,H86,11
628,93,9,H92,H91,12
637,9,9,H97,H96,13
