run_id,regime,day,bucket,side,trader_id,ticket_id,issuer_id,maturity_day,face_value,price,unit_price,is_passthrough,dealer_inventory_before,dealer_cash_before,dealer_bid_before,dealer_ask_before,vbt_mid_before,trader_cash_before,trader_safety_margin_before,dealer_inventory_after,dealer_cash_after,dealer_bid_after,dealer_ask_after,trader_cash_after,trader_safety_margin_after,is_liquidity_driven,reduces_margin_below_zero,hit_inventory_limit
balanced_active_4809d2e10348,active,0,short,SELL,H3,TKT_PAY_f7078a66f39b,H2,1,208,187.20,0.90,True,0,0E-13,0.90,1.10,1.0,1250,-790.80,0,0E-13,0.90,1.10,1437.20,-790.80,False,False,False
balanced_active_4809d2e10348,active,0,mid,SELL,H1,TKT_PAY_a1f4f30a2949,H5,7,5829,4954.65,0.85,True,0,0E-13,0.85,1.15,1.0,1250,1227.65,0,0E-13,0.85,1.15,6204.65,1227.65,False,False,False
balanced_active_4809d2e10348,active,0,mid,SELL,H5,TKT_PAY_dfd9f900c714,H4,5,256,217.60,0.85,True,0,0E-13,0.85,1.15,1.0,1250,-4861.40,0,0E-13,0.85,1.15,1467.60,-4861.40,False,False,False
balanced_active_4809d2e10348,active,0,short,BUY,H2,TKT_PAY_f7078a66f39b,H2,1,208,228.80,1.10,True,0,0E-13,0.90,1.10,1.0,1250,4123.60,0,0E-13,0.90,1.10,1021.20,4082.00,False,False,False
balanced_active_4809d2e10348,active,1,mid,BUY,H2,TKT_PAY_dfd9f900c714,H4,5,256,294.40,1.15,True,0,0E-13,0.85,1.15,1.0,1021,4826.45,0,0E-13,0.85,1.15,726.60,4749.65,False,False,False
