P_prefix,amount,day,payee,payer,step
6,6,1,H3,H2,1
12,6,1,H33,H32,2
51,39,1,H43,H42,3
76,25,1,H73,H72,4
8,8,2,H12,H11,1
53,45,2,H32,H31,2
54,1,2,H42,H41,3
80,26,2,dealer_short,H61,4
34,34,3,H21,H20,1
232,198,3,H31,H30,2
233,1,3,H41,H40,3
263,30,3,H91,H90,4
8,8,5,H80,H8,1
11,3,5,dealer_short,H28,2
95,84,5,dealer_short,H38,3
99,4,5,H59,H58,4
105,6,5,dealer_short,H88,5
108,3,5,dealer_short,H98,6
206,206,6,H8,H7,1
391,185,6,H48,H47,2
400,9,6,dealer_short,H77,3
446,46,6,H88,H87,4
208,208,7,dealer_short,H6,1
212,4,7,dealer_short,H16,2
223,11,7,dealer_short,H56,3
228,5,7,H67,H66,4
238,10,7,H77,H76,5
267,267,8,H80,H5,1
292,25,8,H66,H65,2
313,21,8,dealer_short,H85,3
2,2,9,H15,H14,1
19,17,9,dealer_short,H24,2
28,9,9,H35,H34,3
53,53,10,H80,H3,1
78,25,10,H14,H13,2
189,111,10,H24,H23,3
207,18,10,H34,H33,4
284,77,10,dealer_short,H53,5
289,5,10,H64,H63,6
296,7,10,dealer_short,H73,7
300,4,10,dealer_short,H93,8
