run_id,regime,day,total_face_value,face_bucket_short,face_bucket_mid,face_bucket_long,total_cash,debt_to_money
balanced_active_5232e71472a3,active,0,200,80,120,0,21562.49999999999999999999999,0.009275362318840579710144927541
balanced_active_5232e71472a3,active,1,120,40,80,0,23975.94999999999999999999999,0.005005015442558063392691426202
