run_id,regime,day,bucket,side,trader_id,ticket_id,issuer_id,maturity_day,face_value,price,unit_price,is_passthrough,dealer_inventory_before,dealer_cash_before,dealer_bid_before,dealer_ask_before,vbt_mid_before,trader_cash_before,trader_safety_margin_before,dealer_inventory_after,dealer_cash_after,dealer_bid_after,dealer_ask_after,trader_cash_after,trader_safety_margin_after,is_liquidity_driven,reduces_margin_below_zero,hit_inventory_limit
balanced_active_1b6bac6c3763,active,0,short,SELL,H3,TKT_PAY_0acc7fb7e3c4,H2,1,8796,7916.40,0.90,True,0,0,0.90,1.10,1.0,2500,6611.40,0,0,0.90,1.10,10416.40,6611.40,False,False,False
balanced_active_1b6bac6c3763,active,0,mid,SELL,H2,TKT_PAY_56da050fcab8,H1,7,13,11.05,0.85,True,0,0,0.85,1.15,1.0,2500,-6784.95,0,0,0.85,1.15,2511.05,-6784.95,False,False,False
balanced_active_1b6bac6c3763,active,0,short,BUY,big_short,TKT_PAY_0acc7fb7e3c4,H2,1,8796,9675.60,1.10,True,0,0,0.90,1.10,1.0,625,1450.00,0,0,0.90,1.10,-9050.60,-309.20,False,True,False
balanced_active_1b6bac6c3763,active,1,mid,BUY,H4,TKT_PAY_56da050fcab8,H1,7,13,14.95,1.15,True,0,0,0.85,1.15,1.0,2500,4441.25,0,0,0.85,1.15,2485.05,4437.35,False,False,False
