kappa,concentration,mu,monotonicity,seed,face_value,outside_mid_ratio,big_entity_share,delta_passive,delta_active,trading_effect,trading_relief_ratio,phi_passive,phi_active,passive_run_id,passive_status,active_run_id,active_status,dealer_total_pnl,dealer_total_return,total_trades
0.5,0.2,0.25,0,68,20,1.0,0.25,0.7211147409827321821454763651,0.7211147409827321821454763651,0E-28,0,0.2788852590172678178545236349,0.2788852590172678178545236349,balanced_passive_3522af727209,completed,balanced_active_6d4a88f1c436,completed,0.0,0.0,2
0.5,0.2,0.5,0,69,20,1.0,0.25,0.6680890785438058407787705027,0.6680890785438058407787705027,0E-28,0,0.3319109214561941592212294973,0.3319109214561941592212294973,balanced_passive_6c35cd6bbc14,completed,balanced_active_a5e72df20f69,completed,0.0,0.0,2
0.5,0.2,0.75,0,70,20,1.0,0.25,0.6369940654797626191905047676,1,-0.3630059345202373808094952324,-0.5698733382183607243797759867,0.3630059345202373808094952324,0,balanced_passive_3b6854fdaaa4,completed,balanced_active_e140d25a955d,completed,0.0,0.0,2
0.5,0.2,1,0,71,20,1.0,0.25,0.9666644442962864190946063071,0.9666644442962864190946063071,0E-28,0,0.03333555570371358090539369291,0.03333555570371358090539369291,balanced_passive_85d1abe09ec5,completed,balanced_active_52a8deb886cd,completed,0.0,0.0,2
0.5,0.5,0,0,72,20,1.0,0.25,0.9987998399786638218429123883,0.9987998399786638218429123883,0E-28,0,0.001200160021336178157087611682,0.001200160021336178157087611682,balanced_passive_bee088a78440,completed,balanced_active_8b97836f0e97,completed,0.0,0.0,2
0.5,0.5,0.25,0,73,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_d8f4e1213799,completed,balanced_active_27e973f6f645,completed,0.0,0.0,0
0.5,0.5,0.5,0,74,20,1.0,0.25,0.3309995332399813295992531840,0.3309995332399813295992531840,0E-28,0,0.6690004667600186704007468160,0.6690004667600186704007468160,balanced_passive_8a8a0eacf69a,completed,balanced_active_7f866ff40814,completed,0.0,0.0,2
0.5,0.5,0.75,0,75,20,1.0,0.25,0.7234297906387518335778103747,0.7234297906387518335778103747,0E-28,0,0.2765702093612481664221896253,0.2765702093612481664221896253,balanced_passive_149b760fa1c0,completed,balanced_active_49ab2938456e,completed,0.0,0.0,2
0.5,0.5,1,0,76,20,1.0,0.25,0.7924918316996732679869307195,0.8853770754150830166033206641,-0.0928852437154097486163899446,-0.1172065628944047118216238956,0.2075081683003267320130692805,0.1146229245849169833966793359,balanced_passive_1733a94ba145,completed,balanced_active_54d69771c899,completed,0.0,0.0,2
0.5,1,0,0,77,20,1.0,0.25,0,0.1667000066680002667200106688,-0.1667000066680002667200106688,0,1,0.8332999933319997332799893312,balanced_passive_1e107f45ac6c,completed,balanced_active_0c8af724fde4,completed,0.0,0.0,3
0.5,1,0.25,0,78,20,1.0,0.25,0.9525936791572209627950393386,1,-0.0474063208427790372049606614,-0.04976552110310072093511583955,0.04740632084277903720496066142,0,balanced_passive_5246e0c666b8,completed,balanced_active_4591892d4df7,completed,0.0,0.0,2
0.5,1,0.5,0,79,20,1.0,0.25,0.8056815150706855161376367031,0.8056815150706855161376367031,0E-28,0,0.1943184849293144838623632969,0.1943184849293144838623632969,balanced_passive_d7d5fb52acb3,completed,balanced_active_7f8fa2e5029e,completed,0.0,0.0,2
0.5,1,0.75,0,80,20,1.0,0.25,0.6827365473094618923784756951,0.8911115556444622257784890311,-0.2083750083350003334000133360,-0.3052055864830549858384607872,0.3172634526905381076215243049,0.1088884443555377742215109689,balanced_passive_849e2a069dc3,completed,balanced_active_95f07c1c1380,completed,0.0,0.0,2
0.5,1,1,0,81,20,1.0,0.25,0.6860038674401546976061879042,0,0.6860038674401546976061879042,1,0.3139961325598453023938120958,1,balanced_passive_8f650aa0944c,completed,balanced_active_072f344efb14,completed,0.0,0.0,2
0.5,2,0,0,82,20,1.0,0.25,0,0.9537271636218162421656220829,-0.9537271636218162421656220829,0,1,0.04627283637818375783437791706,balanced_passive_9a9bcfcb91b8,completed,balanced_active_b1ebd57b453c,completed,0.0,0.0,2
0.5,2,0.25,0,83,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_a91ee24098a2,completed,balanced_active_ebb6d946eb42,completed,0.0,0.0,2
0.5,2,0.5,0,84,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_ba4b8245f42b,completed,balanced_active_c46834bbe94f,completed,0.0,0.0,0
0.5,2,0.75,0,85,20,1.0,0.25,0.5306040805440725430057340979,0.1491532204293905854113881851,0.3814508601146819575943459128,0.7188992209097763257099773812,0.4693959194559274569942659021,0.8508467795706094145886118149,balanced_passive_16403aefda71,completed,balanced_active_68954c3534dc,completed,0.0,0.0,2
0.5,2,1,0,86,20,1.0,0.25,1,0,1,1,0,1,balanced_passive_62c156f0c64f,completed,balanced_active_92c54b0d2c57,completed,0.0,0.0,2
0.5,5,0,0,87,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_149781875326,completed,balanced_active_c1af9b13ea7c,completed,0.0,0.0,0
0.5,5,0.25,0,88,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_46954d46b5ae,completed,balanced_active_29d6b00be78e,completed,0.0,0.0,0
0.5,5,0.5,0,89,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_330a0fc115c0,completed,balanced_active_d6aa1204c059,completed,0.0,0.0,0
0.5,5,0.75,0,90,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_b486edf37106,completed,balanced_active_1c8d262472a3,completed,0.0,0.0,0
0.5,5,1,0,91,20,1.0,0.25,0,0,0,0,1,1,balanced_passive_04fd54ae870d,completed,balanced_active_c37a30284d99,completed,0.0,0.0,0
1,0.2,0,0,92,20,1.0,0.25,0.8282437658354447259634617949,0.8282437658354447259634617949,0E-28,0,0.1717562341645552740365382051,0.1717562341645552740365382051,balanced_passive_1a1f2eab1fe8,completed,balanced_active_8f88620c45fd,completed,0.0,0.0,5
1,0.2,0.25,0,93,20,1.0,0.25,0.8979197226296839578610481398,0.9665288705160688091745566075,-0.0686091478863848513135084677,-0.07640899977723323680106928035,0.1020802773703160421389518602,0.03347112948393119082544339245,balanced_passive_31b795564d95,completed,balanced_active_7c4a44fe6f1a,completed,0.0,0.0,4
