strategy,kappa,concentration,mu,outside_mid_ratio,total_face,default_face,default_rate,runs_using_strategy,mean_trading_effect
no_trade,0.25,0.2,0.5,0.8,4246.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.2,0.5,0.8,506.0,0.0,0.0,1,0.0
sell_before,0.25,0.2,0.5,0.8,10245.0,0.0,0.0,1,0.0
round_trip,0.25,0.2,0.5,0.8,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.2,0.5,0.9,14998.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.2,0.5,0.9,0.0,0.0,0.0,0,0.0
sell_before,0.25,0.2,0.5,0.9,0.0,0.0,0.0,0,0.0
round_trip,0.25,0.2,0.5,0.9,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.2,0.5,1.0,0.0,0.0,0.0,0,0.0
hold_to_maturity,0.25,0.2,0.5,1.0,0.0,0.0,0.0,0,0.0
sell_before,0.25,0.2,0.5,1.0,12690.0,12690.0,1.0,1,0.0
round_trip,0.25,0.2,0.5,1.0,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.2,0.75,0.5,0.0,0.0,0.0,0,0.0
hold_to_maturity,0.25,0.2,0.75,0.5,0.0,0.0,0.0,0,0.0
sell_before,0.25,0.2,0.75,0.5,12321.0,12321.0,1.0,1,0.0
round_trip,0.25,0.2,0.75,0.5,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.2,0.75,0.75,0.0,0.0,0.0,0,0.0
hold_to_maturity,0.25,0.2,0.75,0.75,505.0,0.0,0.0,1,0.0
sell_before,0.25,0.2,0.75,0.75,12525.0,12525.0,1.0,1,0.0
round_trip,0.25,0.2,0.75,0.75,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.2,0.75,0.8,14998.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.2,0.75,0.8,0.0,0.0,0.0,0,0.0
sell_before,0.25,0.2,0.75,0.8,0.0,0.0,0.0,0,0.0
round_trip,0.25,0.2,0.75,0.8,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.2,0.75,0.9,1588.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.2,0.75,0.9,0.0,0.0,0.0,0,0.0
sell_before,0.25,0.2,0.75,0.9,12405.0,12405.0,1.0,1,0.0
round_trip,0.25,0.2,0.75,0.9,0.0,0.0,0.0,0,0.0
no_trade,0.25,0.2,0.75,1.0,14998.0,0.0,0.0,1,0.0
hold_to_maturity,0.25,0.2,0.75,1.0,0.0,0.0,0.0,0,0.0
