run_id,kappa,concentration,mu,outside_mid_ratio,delta_passive,delta_active,trading_effect,trading_relief_ratio,dealer_trade_count,trader_dealer_trade_count,n_traders_using_dealer,total_face_traded,total_cash_volume,dealer_active_fraction,dealer_empty_fraction,vbt_usage_fraction,mean_debt_to_money,final_debt_to_money,debt_shrink_rate,frac_defaulted_that_traded,frac_repaid_that_traded
balanced_active_7aa278e9146e,0.25,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.000634920634920625,0.0,1.0,,0.0
balanced_active_d01878da6b8b,0.25,0.2,0.25,1.0,0.966395519402587,1.0,-0.0336044805974129,-0.0347730095211811,2,2,2,8.0,8.0,0.0,1.0,0.0,0.0022857117057258503,0.0020317408717692,0.2,1.0,
balanced_active_1522149a00fa,0.25,0.2,0.5,1.0,1.0,1.0,0.0,0.0,2,2,2,582.0,582.0,0.0,1.0,0.0,0.00228684687481335,0.0020340112099442,0.2,1.0,
balanced_active_d4203eb897cc,0.25,0.2,0.75,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0009235209235209092,0.0,1.0,,0.0
balanced_active_8e3cdf858923,0.25,0.2,1.0,1.0,0.872849713295106,0.872849713295106,0.0,0.0,2,2,2,132.0,132.0,0.0,1.0,0.0,0.002032042590353633,0.0015241908134479,0.4,1.0,0.0
balanced_active_ab43712116b6,0.25,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.000634920634920625,0.0,1.0,,0.0
balanced_active_9c313b20d9dd,0.25,0.5,0.25,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0010582010582010418,0.0,1.0,,0.0
balanced_active_9b10e575f559,0.25,0.5,0.5,1.0,0.8345669133826765,1.0,-0.1654330866173234,-0.1982262703739213,2,2,2,1004.0,1004.0,0.0,1.0,0.0,0.0022870033368162504,0.00203432413395,0.2,1.0,
balanced_active_ad29f99539f4,0.25,0.5,0.75,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0009235209235209092,0.0,1.0,,0.0
balanced_active_34eea7c346a6,0.25,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.001172161172161154,0.0,1.0,,0.0
