G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.22648981009014235,10896,1431,0,1431,0,1,1,0,11,10,,0,
0,0.13838149958551296,10896,897,0,897,0,2,1,0,13,10,,0,
0,0.18800822542051762,10896,963,0,963,0,3,1,0,12,10,,0,
0,0.10205363547921109,10896,1595,0,1595,0,4,1,0,13,10,,0,
0,0.220958600330218,10896,3162,0,3162,0,5,1,0,13,10,,0,
0,0.20875774066428973,10896,1460,0,1460,0,6,1,0,13,10,,0,
0,0.27489601962125465,10896,2298,0,2298,0,7,1,0,11,10,,0,
0,0.13711531177193975,10896,878,0,878,0,8,1,0,13,10,,0,
0,0.14136281610851137,10896,1153,0,1153,0,9,1,0,12,10,,0,
0,0.15607187457871483,10896,1113,0,1113,0,10,1,0,12,10,,0,
