kappa,concentration,mu,monotonicity,seed,delta_control,delta_treatment,delta_reduction,relief_ratio,phi_control,phi_treatment,control_run_id,control_status,treatment_run_id,treatment_status
0.25,0.2,0,0,42,0.5176635889201124046567643517,0.5176635889201124046567643517,0E-28,0,0.4823364110798875953432356483,0.4823364110798875953432356483,comparison_control_5f5f18ee7fa1,completed,comparison_treatment_fb197ddf6081,completed
0.25,0.2,0.25,0,43,0.4912157413914265635980323261,0.4912157413914265635980323261,0E-28,0,0.5087842586085734364019676739,0.5087842586085734364019676739,comparison_control_34cac33513d0,completed,comparison_treatment_d4dff37851b4,completed
0.25,0.2,0.5,0,44,0.5796766743648960739030023095,0.5796766743648960739030023095,0E-28,0,0.4203233256351039260969976905,0.4203233256351039260969976905,comparison_control_f384e2126685,completed,comparison_treatment_a519822abb36,completed
0.25,0.2,0.75,0,45,0.5041172926290419763004619401,0.3659369351275356497288612171,0.1381803575015063265716007230,0.2741035856573705179282868525,0.4958827073709580236995380599,0.6340630648724643502711387829,comparison_control_97005d580e18,completed,comparison_treatment_fd7761dbf234,completed
0.25,0.2,1,0,46,0.6149829282988551918055834505,0.6149829282988551918055834505,0E-28,0,0.3850170717011448081944165495,0.3850170717011448081944165495,comparison_control_e35a8c5ff3a2,completed,comparison_treatment_2e09431fc427,completed
0.25,0.5,0,0,47,0.1023606228026117528879959819,0.1023606228026117528879959819,0E-28,0,0.8976393771973882471120040181,0.8976393771973882471120040181,comparison_control_03292067dca1,completed,comparison_treatment_a1c7006249d4,completed
0.25,0.5,0.25,0,48,0.1968448553054662379421221865,0.1968448553054662379421221865,0E-28,0,0.8031551446945337620578778135,0.8031551446945337620578778135,comparison_control_3ffdf6fcb3dd,completed,comparison_treatment_56be77b3c572,completed
0.25,0.5,0.5,0,49,0.1781083525982510805106040808,0.1781083525982510805106040808,0E-28,0,0.8218916474017489194893959192,0.8218916474017489194893959192,comparison_control_6f42f6b761b3,completed,comparison_treatment_cf525cf0b4c0,completed
0.25,0.5,0.75,0,50,0.4288585209003215434083601286,0.2716036977491961414790996785,0.1572548231511254019292604501,0.3666822867853795688847235238,0.5711414790996784565916398714,0.7283963022508038585209003215,comparison_control_9d3769143cd9,completed,comparison_treatment_0c77cc1e97a2,completed
0.25,0.5,1,0,51,0.3840820018088634308109737715,0.3016782232941412923324289016,0.0824037785147221384785448699,0.2145473574045002616431187861,0.6159179981911365691890262285,0.6983217767058587076675710984,comparison_control_91d9eb743d90,completed,comparison_treatment_b552532a5cd6,completed
0.25,1,0,0,52,0.05247285886610373944511459590,0.05247285886610373944511459590,0E-29,0,0.9475271411338962605548854041,0.9475271411338962605548854041,comparison_control_8a0c7d323f03,completed,comparison_treatment_9c864bf0a6f7,completed
0.25,1,0.25,0,53,0.06302774427020506634499396865,0.06302774427020506634499396865,0E-29,0,0.9369722557297949336550060314,0.9369722557297949336550060314,comparison_control_f840e2e85d17,completed,comparison_treatment_043d2269a900,completed
0.25,1,0.5,0,54,0.1150211140156846973657751860,0.1150211140156846973657751860,0E-28,0,0.8849788859843153026342248140,0.8849788859843153026342248140,comparison_control_f0ac6007c26a,completed,comparison_treatment_a206b4295cf7,completed
0.25,1,0.75,0,55,0.08919054801407742584213172449,0.04655605832076420311714429362,0.04263448969331322272498743087,0.4780157835400225479143179256,0.9108094519859225741578682755,0.9534439416792357968828557064,comparison_control_ebd291890c05,completed,comparison_treatment_726d7c2f9a2b,completed
0.25,1,1,0,56,0.1055064308681672025723472669,0.05516479099678456591639871383,0.05034163987138263665594855307,0.4771428571428571428571428572,0.8944935691318327974276527331,0.9448352090032154340836012862,comparison_control_bb648d7a89b5,completed,comparison_treatment_45405ed32473,completed
0.25,2,0,0,57,0,0,0,0,1,1,comparison_control_2fccd651a294,completed,comparison_treatment_f4fdff12f698,completed
0.25,2,0.25,0,58,0,0,0,0,1,1,comparison_control_08a4e4ea30cf,completed,comparison_treatment_32d1a84a69db,completed
0.25,2,0.5,0,59,0.04636427637533943477823594489,0.04636427637533943477823594489,0E-29,0,0.9536357236246605652217640551,0.9536357236246605652217640551,comparison_control_1d0bc3ae93de,completed,comparison_treatment_4dbecd20782f,completed
0.25,2,0.75,0,60,0,0,0,0,1,1,comparison_control_83b861ac6859,completed,comparison_treatment_88d890fa7a79,completed
0.25,2,1,0,61,0.04672427652733118971061093247,0,0.04672427652733118971061093247,1,0.9532757234726688102893890675,1,comparison_control_d357788ce354,completed,comparison_treatment_1f6e7c3a3d09,completed
0.25,5,0,0,62,0,0,0,0,1,1,comparison_control_6e8f867bc083,completed,comparison_treatment_b9502137c023,completed
0.25,5,0.25,0,63,0,0,0,0,1,1,comparison_control_dd74d58793b0,completed,comparison_treatment_5046c846f5d9,completed
0.25,5,0.5,0,64,0,0,0,0,1,1,comparison_control_5602fdbd90d2,completed,comparison_treatment_7e283b34d895,completed
0.25,5,0.75,0,65,0,0,0,0,1,1,comparison_control_52f4cb3fd249,completed,comparison_treatment_f2c315bfb342,completed
0.25,5,1,0,66,0,0,0,0,1,1,comparison_control_731d1bdd9c99,completed,comparison_treatment_3051ebb4ac4c,completed
0.5,0.2,0,0,67,0.6507426736250501806503412284,0.6507426736250501806503412284,0E-28,0,0.3492573263749498193496587716,0.3492573263749498193496587716,comparison_control_5e9b14530545,completed,comparison_treatment_baf3b053542b,completed
0.5,0.2,0.25,0,68,0.7201807228915662650602409639,0.6988955823293172690763052209,0.0212851405622489959839357430,0.02955527673219015753520144992,0.2798192771084337349397590361,0.3011044176706827309236947791,comparison_control_8763d46f6ae2,completed,comparison_treatment_430071c5bb50,completed
0.5,0.2,0.5,0,69,0.7123493975903614457831325301,0.6492971887550200803212851406,0.0630522088353413654618473895,0.08851303735024665257223396750,0.2876506024096385542168674699,0.3507028112449799196787148594,comparison_control_1beab3011713,completed,comparison_treatment_b31c95d54218,completed
0.5,0.2,0.75,0,70,0.6862390846130683529057512797,0.6643581250627321088025695072,0.0218809595503362441031817725,0.03188532982302179318414509279,0.3137609153869316470942487203,0.3356418749372678911974304928,comparison_control_014e02fedeb9,completed,comparison_treatment_18e0a3ead849,completed
0.5,0.2,1,0,71,0.7739086803813346713497240341,0.5853487205218263923733065730,0.1885599598595082789764174611,0.2436462655601659751037344398,0.2260913196186653286502759659,0.4146512794781736076266934270,comparison_control_768f56337fe1,completed,comparison_treatment_09c356b1d3fb,completed
0.5,0.5,0,0,72,0.4803015075376884422110552764,0.4382914572864321608040201005,0.0420100502512562814070351759,0.08746599707051684452814396321,0.5196984924623115577889447236,0.5617085427135678391959798995,comparison_control_5cf001732102,completed,comparison_treatment_fbb81d756d68,completed
