P_prefix,amount,day,payee,payer,step
47,47,1,dealer_short,H12,1
73,26,1,H23,H22,2
121,48,1,H63,H62,3
123,123,2,H2,H1,1
166,43,2,H12,H11,2
220,54,2,H62,H61,3
14,14,3,H11,H10,1
71,57,3,H51,H50,2
87,16,3,dealer_short,H60,3
114,27,3,dealer_short,H70,4
56,56,4,H10,H9,1
110,54,4,H20,H19,2
226,116,4,dealer_short,H29,3
285,59,4,H40,H39,4
335,50,4,H70,H69,5
359,24,4,dealer_short,H79,6
400,41,4,dealer_short,H89,7
501,101,4,H100,H99,8
23,23,5,dealer_short,H8,1
133,110,5,dealer_short,H18,2
207,74,5,dealer_short,H28,3
292,85,5,dealer_short,H38,4
316,24,5,dealer_short,H58,5
411,95,5,H69,H68,6
463,52,5,H89,H88,7
554,91,5,dealer_short,H98,8
74,74,6,dealer_short,H47,1
160,86,6,H58,H57,2
207,47,6,dealer_short,H67,3
240,33,6,dealer_short,H77,4
314,74,6,dealer_short,H87,5
381,67,6,dealer_short,H97,6
21,21,7,dealer_short,H16,1
56,35,7,dealer_short,H26,2
99,43,7,dealer_short,H36,3
124,25,7,dealer_short,H46,4
149,25,7,H67,H66,5
267,118,7,H77,H76,6
388,121,7,dealer_short,H86,7
425,37,7,dealer_short,H96,8
19,19,8,dealer_short,H5,1
76,57,8,H16,H15,2
172,96,8,H26,H25,3
190,18,8,H36,H35,4
235,45,8,H46,H45,5
282,47,8,dealer_short,H55,6
466,184,8,dealer_short,H75,7
542,76,8,dealer_short,H85,8
573,31,8,H96,H95,9
143,143,9,H5,H4,1
336,193,9,dealer_short,H14,2
381,45,9,dealer_short,H24,3
406,25,9,H35,H34,4
416,10,9,H45,H44,5
455,39,9,H55,H54,6
493,38,9,dealer_short,H84,7
521,28,9,H95,H94,8
86,86,10,dealer_short,H3,1
136,50,10,H24,H23,2
209,73,10,H54,H53,3
229,20,10,dealer_short,H63,4
257,28,10,dealer_short,H73,5
264,7,10,H84,H83,6
393,129,10,H94,H93,7
