run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_217607e59aa5,active,H2,PAY_525d3776a462,1,1024,repaid,0,1,976.65,sell_before
balanced_active_217607e59aa5,active,H2,PAY_d3742020be87,1,500,repaid,0,1,976.65,sell_before
