P_prefix,amount,day,payee,payer,step
5,5,1,H8,H7,1
38,33,1,H13,H12,2
43,5,1,H28,H27,3
65,22,1,H33,H32,4
104,39,1,H53,H52,5
196,92,1,H63,H62,6
204,8,1,H83,H82,7
67,67,3,H4,H3,1
105,38,3,H9,H8,2
197,92,3,H24,H23,3
267,70,3,H44,H43,4
387,120,3,dealer_short,H48,5
541,154,3,H59,H58,6
586,45,3,dealer_short,H63,7
661,75,3,H69,H68,8
756,95,3,dealer_short,H73,9
809,53,3,dealer_short,H88,10
22,22,5,dealer_short,H14,1
133,111,5,dealer_short,H19,2
190,57,5,dealer_short,H29,3
336,146,5,dealer_short,H39,4
429,93,5,H50,H49,5
512,83,5,H55,H54,6
551,39,5,dealer_short,H59,7
613,62,5,H65,H64,8
699,86,5,dealer_short,H74,9
752,53,5,dealer_short,H84,10
809,57,5,dealer_short,H89,11
926,117,5,dealer_short,H94,12
1007,81,5,dealer_short,H99,13
143,143,7,dealer_short,H10,1
222,79,7,dealer_short,H20,2
340,118,7,H26,H25,3
431,91,7,dealer_short,H30,4
472,41,7,dealer_short,H35,5
678,206,7,dealer_short,H40,6
869,191,7,dealer_short,H45,7
884,15,7,dealer_short,H50,8
909,25,7,dealer_short,H55,9
913,4,7,dealer_short,H65,10
945,32,7,dealer_short,H70,11
1009,64,7,H76,H75,12
1047,38,7,dealer_short,H80,13
1106,59,7,H91,H90,14
1160,54,7,H96,H95,15
1237,77,7,dealer_short,H100,16
98,98,9,H2,H1,1
153,55,9,H7,H6,2
212,59,9,H12,H11,3
265,53,9,H17,H16,4
322,57,9,H22,H21,5
357,35,9,H27,H26,6
457,100,9,H32,H31,7
621,164,9,H42,H41,8
758,137,9,H47,H46,9
824,66,9,H57,H56,10
907,83,9,dealer_short,H61,11
937,30,9,H77,H76,12
1016,79,9,H87,H86,13
1040,24,9,H92,H91,14
1056,16,9,H97,H96,15
