kappa,concentration,mu,monotonicity,seed,face_value,outside_mid_ratio,big_entity_share,delta_passive,delta_active,trading_effect,trading_relief_ratio,phi_passive,phi_active,passive_run_id,passive_status,active_run_id,active_status,dealer_total_pnl,dealer_total_return,total_trades
0.25,0.2,0,0,42,20,1.0,0.375,0,0,0,0,1,1,balanced_passive_99514877fd51,completed,balanced_active_0b14d3c645db,completed,0.0,0.0,0
0.25,0.2,0.25,0,43,20,1.0,0.375,0.9568546774101377221555517458,1,-0.0431453225898622778444482542,-0.04509077878643096034400382228,0.04314532258986227784444825419,0,balanced_passive_a980fdf483b6,completed,balanced_active_0402e32f2dc7,completed,3.3360288446398025e-08,4.542677575679731e-12,2
0.25,0.2,0.5,0,44,20,1.0,0.375,1,1,0,0,0,0,balanced_passive_789cb608e035,completed,balanced_active_ee99409ed860,completed,5.004043266959704e-08,6.814016363519596e-12,2
0.25,0.2,0.75,0,45,20,1.0,0.375,0.3178077494570808092353411818,0.3178077494570808092353411818,0E-28,0,0.6821922505429191907646588182,0.6821922505429191907646588182,balanced_passive_2d912008850a,completed,balanced_active_8e4c8f3b74d6,completed,0.0,0.0,0
0.25,0.2,1,0,46,20,1.0,0.375,0.8687203520603532034062982226,0.8687203520603532034062982226,0E-28,0,0.1312796479396467965937017774,0.1312796479396467965937017774,balanced_passive_bc8f52178d29,completed,balanced_active_2c95f3177c60,completed,20.000000050040434,0.0027234042621331655,3
0.25,0.5,0,0,47,20,1.0,0.375,0,0,0,0,1,1,balanced_passive_9e87e437ce34,completed,balanced_active_528397cfcb45,completed,0.0,0.0,0
0.25,0.5,0.25,0,48,20,1.0,0.375,0.3816082757044064696805166600,0.3816082757044064696805166600,0E-28,0,0.6183917242955935303194833400,0.6183917242955935303194833400,balanced_passive_e3d701985007,completed,balanced_active_21e80ddb20b6,completed,20.0,0.002723404255319149,1
0.25,0.5,0.5,0,49,20,1.0,0.375,0,1,-1,0,1,0,balanced_passive_8ccf85867160,completed,balanced_active_fc5ff0b120fe,completed,3.3360288446398025e-08,4.542677575679731e-12,2
0.25,0.5,0.75,0,50,20,1.0,0.375,0.6186421305292033375242884901,0.6186421305292033375242884901,0E-28,0,0.3813578694707966624757115099,0.3813578694707966624757115099,balanced_passive_642447e29df3,completed,balanced_active_c128c24da5ac,completed,0.0,0.0,0
0.25,0.5,1,0,51,20,1.0,0.375,0,0.02857796067672610882487425697,-0.02857796067672610882487425697,0,1,0.9714220393232738911751257430,balanced_passive_c7a3aa29bd5c,completed,balanced_active_57d0d6d2662a,completed,2.2496939192173397,0.00030634129963810584,4
0.25,1,0,0,52,20,1.0,0.375,0,0,0,0,1,1,balanced_passive_4010e4d97216,completed,balanced_active_2ca6c7e4238b,completed,0.0,0.0,0
0.25,1,0.25,0,53,20,1.0,0.375,0.6298794078984968851803166257,0.6298794078984968851803166257,0E-28,0,0.3701205921015031148196833743,0.3701205921015031148196833743,balanced_passive_f8f53d5d51f0,completed,balanced_active_75742005140a,completed,0.0,0.0,0
0.25,1,0.5,0,54,20,1.0,0.375,0.4221053834723968453537547148,0.4221053834723968453537547148,0E-28,0,0.5778946165276031546462452852,0.5778946165276031546462452852,balanced_passive_ad1850ef6d0d,completed,balanced_active_e531e6fa025b,completed,0.0,0.0,0
0.25,1,0.75,0,55,20,1.0,0.375,0.3236554837972223809795965023,0.3236554837972223809795965023,0E-28,0,0.6763445162027776190204034977,0.6763445162027776190204034977,balanced_passive_686e8c33bc0e,completed,balanced_active_fdbd4db489b4,completed,0.0,0.0,0
0.25,1,1,0,56,20,1.0,0.375,0.4456826104348819932567575290,0.4456826104348819932567575290,0E-28,0,0.5543173895651180067432424710,0.5543173895651180067432424710,balanced_passive_ce283d7f9bf4,completed,balanced_active_e46b50e9c7ed,completed,1.1498163515304038,0.00015657073722967203,2
0.25,2,0,0,57,20,1.0,0.375,0,0,0,0,1,1,balanced_passive_79e99c912a2e,completed,balanced_active_552f47902993,completed,0.0,0.0,0
