P_prefix,amount,day,payee,payer,step
38,38,1,dealer_short,H2,1
124,86,1,H73,H72,2
61,61,2,H6,H5,1
108,47,2,dealer_short,H45,2
233,125,2,H66,H65,3
313,80,2,H76,H75,4
168,168,3,dealer_short,H18,1
219,51,3,H59,H58,2
322,103,3,H69,H68,3
358,36,3,H89,H88,4
114,114,4,H22,H21,1
170,56,4,H32,H31,2
275,105,4,H42,H41,3
368,93,4,H52,H51,4
427,59,4,H82,H81,5
510,83,4,H92,H91,6
85,85,5,dealer_short,H4,1
152,67,5,H15,H14,2
222,70,5,H25,H24,3
350,128,5,H35,H34,4
503,153,5,H45,H44,5
586,83,5,H55,H54,6
765,179,5,dealer_short,H64,7
915,150,5,dealer_short,H74,8
950,35,5,H95,H94,9
38,38,6,H8,H7,1
97,59,6,dealer_short,H27,2
168,71,6,H38,H37,3
252,84,6,H48,H47,4
321,69,6,dealer_short,H57,5
404,83,6,dealer_short,H67,6
556,152,6,H78,H77,7
639,83,6,H98,H97,8
54,54,7,H11,H10,1
149,95,7,dealer_short,H20,2
204,55,7,dealer_short,H30,3
294,90,7,dealer_short,H40,4
378,84,7,dealer_short,H50,5
471,93,7,H71,H70,6
545,74,7,dealer_short,H80,7
635,90,7,dealer_short,H90,8
726,91,7,H1,H100,9
96,96,8,dealer_short,H13,1
167,71,8,dealer_short,H33,2
219,52,8,dealer_short,H53,3
356,137,8,dealer_short,H63,4
479,123,8,dealer_short,H73,5
539,60,8,dealer_short,H83,6
606,67,8,H94,H93,7
99,99,9,dealer_short,H16,1
182,83,9,dealer_short,H26,2
286,104,9,dealer_short,H36,3
338,52,9,dealer_short,H46,4
371,33,9,dealer_short,H66,5
465,94,9,dealer_short,H76,6
549,84,9,dealer_short,H86,7
624,75,9,dealer_short,H96,8
179,179,10,dealer_short,H19,1
256,77,10,dealer_short,H29,2
313,57,10,dealer_short,H59,3
398,85,10,dealer_short,H69,4
468,70,10,dealer_short,H79,5
