run_id,regime,day,total_face_value,face_bucket_short,face_bucket_mid,face_bucket_long,total_cash,debt_to_money
balanced_active_f6ab447ef8be,active,0,200,80,80,40,11250.00000000000015000000000,0.01777777777777777754074074074
balanced_active_f6ab447ef8be,active,1,120,20,100,0,12711.50000000000015000000001,0.009440270621091137834556063938
