run_id,regime,day,total_face_value,face_bucket_short,face_bucket_mid,face_bucket_long,total_cash,debt_to_money
balanced_active_76be7cbf76e0,active,0,200,80,80,40,40499.99999999999970000000001,0.004938271604938271641518061270
balanced_active_76be7cbf76e0,active,1,160,40,120,0,40500.29999999999970000000001,0.003950588020335651863941166018
