kappa,concentration,mu,monotonicity,seed,delta_control,delta_treatment,delta_reduction,relief_ratio,phi_control,phi_treatment,control_run_id,control_status,treatment_run_id,treatment_status,dealer_total_pnl,dealer_total_return,dealer_profitable,spread_income_total,mean_trader_return,fraction_profitable_traders,liquidity_driven_sales,rescue_events,total_trades,unsafe_buy_count,fraction_unsafe_buys
0.25,0.2,0,0,42,0.8884985949417904456041750301,0.8884985949417904456041750301,0E-28,0,0.1115014050582095543958249699,0.1115014050582095543958249699,comparison_control_e81cc8d68e01,completed,comparison_treatment_4c9a1292034a,completed,-8.797600623781689,-0.0008797600623781689,False,0.010830948121806782,0.0,0.0,0,0,8,0,0.0
0.25,0.2,0.25,0,43,0.8187932938459993976508382693,0.8187932938459993976508382693,0E-28,0,0.1812067061540006023491617307,0.1812067061540006023491617307,comparison_control_5049b267779f,completed,comparison_treatment_387de7315c93,completed,-2.7987403374356172,-0.00027987403374356176,False,0.010557222888255932,5.444165925605614e-05,1.0,0,0,9,0,0.0
0.25,0.2,0.5,0,44,0.9474846872175921277236670348,0.9474846872175921277236670348,0E-28,0,0.05251531278240787227633296517,0.05251531278240787227633296517,comparison_control_5ff7a673edb7,completed,comparison_treatment_2b5d558811b6,completed,-0.9486955667337297,-9.486955667337297e-05,False,0.00617876424715057,0.0,0.0,0,0,8,0,0.0
0.25,0.2,0.75,0,45,0.9437638079935730066278369150,0.9437638079935730066278369150,0E-28,0,0.05623619200642699337216308496,0.05623619200642699337216308496,comparison_control_997e38f11493,completed,comparison_treatment_4760087d5fac,completed,-2.197390751210775,-0.00021973907512107748,False,0.08355143552747596,-1.6355308879698712e-08,0.0,0,0,10,0,0.0
0.25,0.2,1,0,46,0.9613376179955814420566378791,0.9613376179955814420566378791,0E-28,0,0.03866238200441855794336212091,0.03866238200441855794336212091,comparison_control_ab2e41f9b4c7,completed,comparison_treatment_56007ab6a090,completed,-1.1480056237466134,-0.00011480056237466134,False,0.0019496910698868328,0.0,0.0,0,0,8,0,0.0
0.25,0.5,0,0,47,0.6289301858362631843294826720,0.6289301858362631843294826720,0E-28,0,0.3710698141637368156705173280,0.3710698141637368156705173280,comparison_control_31a0f10a1fd0,completed,comparison_treatment_9b490306a3e2,completed,-5.498950380832978,-0.0005498950380832978,False,0.00860896227595165,0.0,0.0,0,0,5,0,0.0
0.25,0.5,0.25,0,48,0.9306672025723472668810289389,0.9306672025723472668810289389,0E-28,0,0.06933279742765273311897106110,0.06933279742765273311897106110,comparison_control_44c1cacebea9,completed,comparison_treatment_75dcabb90077,completed,-0.4994602248965499,-4.9946022489654994e-05,False,0.003989202159568086,0.0,0.0,0,0,3,0,0.0
0.25,0.5,0.5,0,49,0.7521358930545783495828726505,0.7521358930545783495828726505,0E-28,0,0.2478641069454216504171273495,0.2478641069454216504171273495,comparison_control_332dc1e04488,completed,comparison_treatment_cdd15ecea881,completed,-1.5495648803618982,-0.00015495648803618981,False,0.09388950447320608,0.022708666875408515,0.5,0,0,9,0,0.0
0.25,0.5,0.75,0,50,0.9393086816720257234726688103,0.9393086816720257234726688103,0E-28,0,0.06069131832797427652733118972,0.06069131832797427652733118972,comparison_control_0212e358f192,completed,comparison_treatment_a9eff0cabb1a,completed,-3.0486056027175374,-0.00030486056027175375,False,0.044181163767246553,0.04531077526061765,1.0,0,0,8,0,0.0
0.25,0.5,1,0,51,0.7484674907044518138880514521,0.7484674907044518138880514521,0E-28,0,0.2515325092955481861119485479,0.2515325092955481861119485479,comparison_control_ed78aefe0a50,completed,comparison_treatment_ea83ede95cbb,completed,-1.8483354228758258,-0.00018483354228758257,False,0.0242798307238605,0.045212769208921366,1.0,0,0,10,0,0.0
0.25,1,0,0,52,0.8814837153196622436670687575,0.8814837153196622436670687575,0E-28,0,0.1185162846803377563329312425,0.1185162846803377563329312425,comparison_control_65aa08616a46,completed,comparison_treatment_fd8bcba169fd,completed,-2.199760101952623,-0.0002199760101952623,False,0.003989202159568086,0.0,0.0,0,0,2,0,0.0
0.25,1,0.25,0,53,0.9617008443908323281061519903,0.9617008443908323281061519903,0E-28,0,0.03829915560916767189384800964,0.03829915560916767189384800964,comparison_control_09baa60a5e66,completed,comparison_treatment_ca7dec3289cc,completed,-0.34968512594332707,-3.496851259433271e-05,False,0.006418716256748651,0.0,0.0,0,0,2,0,0.0
0.25,1,0.5,0,54,0.9744620953146993766338226423,0.9744620953146993766338226423,0E-28,0,0.02553790468530062336617735773,0.02553790468530062336617735773,comparison_control_824d44fba61d,completed,comparison_treatment_d0c1ebd2b451,completed,-0.2996401529289345,-2.9964015292893447e-05,False,0.0008098380323935212,0.0,0.0,0,0,2,0,0.0
0.25,1,0.75,0,55,0.7641025641025641025641025641,0.7641025641025641025641025641,0E-28,0,0.2358974358974358974358974359,0.2358974358974358974358974359,comparison_control_a1194a66850c,completed,comparison_treatment_3afda93f05de,completed,-0.34968512594332707,-3.496851259433271e-05,False,0.002174556093279095,0.04541732448045338,1.0,0,0,3,0,0.0
0.25,1,1,0,56,0.9908561093247588424437299035,0.9908561093247588424437299035,0E-28,0,0.009143890675241157556270096463,0.009143890675241157556270096463,comparison_control_918ab9fffad4,completed,comparison_treatment_cea28809e66f,completed,-0.24977508995951933,-2.4977508995951935e-05,False,0.014232153569286143,-1.635352541001375e-08,0.0,0,0,3,0,0.0
0.25,2,0,0,57,0,0,0,0,1,1,comparison_control_2a0f8cc7909a,completed,comparison_treatment_01ff39121f26,completed,-1.0999100359838077,-0.00010999100359838077,False,0.005458908218356329,0.0,0.0,0,0,1,0,0.0
0.25,2,0.25,0,58,0,0,0,0,1,1,comparison_control_914a436a519c,completed,comparison_treatment_8f3012468b71,completed,0.0,0.0,True,0.0,0.0,0.0,0,0,0,0,0.0
0.25,2,0.5,0,59,0.4109423715176506084682691341,0.4109423715176506084682691341,0E-28,0,0.5890576284823493915317308659,0.5890576284823493915317308659,comparison_control_a398d68dfbad,completed,comparison_treatment_1bbf14983a8e,completed,-1.0999100359838077,-0.00010999100359838077,False,0.0007498500299940012,0.0,0.0,0,0,1,0,0.0
0.25,2,0.75,0,60,0,0,0,0,1,1,comparison_control_bdc5a4349bac,completed,comparison_treatment_1484db391a15,completed,0.0,0.0,True,0.0,0.0,0.0,0,0,0,0,0.0
0.25,2,1,0,61,0.1722266881028938906752411576,0,0.1722266881028938906752411576,1,0.8277733118971061093247588424,1,comparison_control_50a7bb65fb3d,completed,comparison_treatment_cb697f3802a0,completed,-0.04995495057147901,-4.9954950571479005e-06,False,0.013120689205487238,0.04344418283670088,1.0,0,0,2,0,0.0
0.25,5,0,0,62,0,0,0,0,1,1,comparison_control_6f0d64b9bb19,completed,comparison_treatment_21f38281d52f,completed,0.0,0.0,True,0.0,0.0,0.0,0,0,0,0,0.0
0.25,5,0.25,0,63,0,0,0,0,1,1,comparison_control_c6630d3e8147,completed,comparison_treatment_bc2de0ede0fe,completed,0.0,0.0,True,0.0,0.0,0.0,0,0,0,0,0.0
0.25,5,0.5,0,64,0,0,0,0,1,1,comparison_control_f390adf4fb37,completed,comparison_treatment_a8761c888ffd,completed,0.0,0.0,True,0.0,0.0,0.0,0,0,0,0,0.0
0.25,5,0.75,0,65,0,0,0,0,1,1,comparison_control_0c099184a67b,completed,comparison_treatment_e9c604b4743f,completed,0.0,0.0,True,0.0,0.0,0.0,0,0,0,0,0.0
0.25,5,1,0,66,0,0,0,0,1,1,comparison_control_d774f49df754,completed,comparison_treatment_7089f6fa45e8,completed,0.0,0.0,True,0.0,0.0,0.0,0,0,0,0,0.0
0.5,0.2,0,0,67,1,1,0,0,0,0,comparison_control_9a8ad9a7d7cb,completed,comparison_treatment_4b47d1840579,completed,-10.992803345676137,-0.0021985606691352273,False,0.06967768511123705,0.0,0.0,0,0,10,0,0.0
0.5,0.2,0.25,0,68,0.9682730923694779116465863454,0.9682730923694779116465863454,0E-28,0,0.03172690763052208835341365461,0.03172690763052208835341365461,comparison_control_b4e4dd613d48,completed,comparison_treatment_a957f1fe034a,completed,-1.4951433454316332,-0.0002990286690863266,False,0.05434670550919756,0.0,0.0,0,0,12,0,0.0
0.5,0.2,0.5,0,69,0.9845381526104417670682730924,0.9845381526104417670682730924,0E-28,0,0.01546184738955823293172690763,0.01546184738955823293172690763,comparison_control_a5e2236df4df,completed,comparison_treatment_e1a6acd6a84d,completed,-4.345593039665448,-0.0008691186079330896,False,0.09235217860274099,0.0,0.0,0,0,12,0,0.0
