run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_06f6c7bc5995,active,H2,PAY_4a5e86895049,1,2505,repaid,0,0,0,no_trade
balanced_active_06f6c7bc5995,active,H2,PAY_dd0598ef7e50,1,500,repaid,0,0,0,no_trade
balanced_active_06f6c7bc5995,active,H3,PAY_0efb618ff1fa,3,3594,repaid,0,0,0,no_trade
balanced_active_06f6c7bc5995,active,H3,PAY_7e96a4580d36,3,500,repaid,0,0,0,no_trade
balanced_active_06f6c7bc5995,active,H4,PAY_160c74fa1803,5,1595,repaid,0,0,0,no_trade
balanced_active_06f6c7bc5995,active,H4,PAY_839556fd64a3,5,500,repaid,0,0,0,no_trade
balanced_active_06f6c7bc5995,active,H5,PAY_12b5ee34facb,7,3916,repaid,0,0,0,no_trade
balanced_active_06f6c7bc5995,active,H5,PAY_49239b0b25b4,7,500,repaid,0,0,0,no_trade
balanced_active_06f6c7bc5995,active,H1,PAY_3d07d7d13a8e,9,887,repaid,0,0,0,no_trade
balanced_active_06f6c7bc5995,active,H1,PAY_b51b101aa4f0,9,500,repaid,0,0,0,no_trade
