P_prefix,amount,day,payee,payer,step
17,17,1,H2,H1,1
104,104,1,H3,H2,2
104,20,1,H4,H3,3
206,102,1,H6,H5,4
206,53,1,dealer_short,H6,5
311,105,1,H8,H7,6
311,91,1,H9,H8,7
311,4,1,H10,H9,8
389,82,1,dealer_short,H10,9
495,106,1,H12,H11,10
495,80,1,H13,H12,11
640,145,1,H15,H14,12
640,51,1,H16,H15,13
640,28,1,H17,H16,14
640,15,1,H18,H17,15
768,128,1,dealer_short,H19,16
871,103,1,H21,H20,17
871,63,1,H22,H21,18
884,76,1,H23,H22,19
884,27,1,H24,H23,20
939,82,1,H25,H24,21
939,17,1,dealer_short,H25,22
1045,106,1,dealer_short,H26,23
1154,109,1,H28,H27,24
1166,121,1,H29,H28,25
1166,31,1,H30,H29,26
1166,10,1,H31,H30,27
1200,44,1,H32,H31,28
1283,127,1,H33,H32,29
1283,78,1,H34,H33,30
1355,150,1,H35,H34,31
1355,61,1,H36,H35,32
1355,55,1,H37,H36,33
1375,20,1,H39,H38,34
1380,25,1,H40,H39,35
1452,97,1,H41,H40,36
1464,109,1,H42,H41,37
1464,62,1,H43,H42,38
1491,89,1,H44,H43,39
1491,63,1,H45,H44,40
1549,121,1,H46,H45,41
1740,191,1,H48,H47,42
1740,111,1,H49,H48,43
1740,69,1,H50,H49,44
1804,64,1,H52,H51,45
1847,107,1,H53,H52,46
1973,126,1,H55,H54,47
1973,54,1,dealer_short,H55,48
2122,149,1,H57,H56,49
2122,100,1,H58,H57,50
2229,107,1,H60,H59,51
2229,83,1,H61,H60,52
2311,82,1,H63,H62,53
2311,55,1,H64,H63,54
2627,316,1,H66,H65,55
2627,20,1,H67,H66,56
2627,8,1,H68,H67,57
2862,235,1,H70,H69,58
2862,53,1,H71,H70,59
2862,32,1,H72,H71,60
2956,126,1,H73,H72,61
2982,26,1,H75,H74,62
3021,65,1,H76,H75,63
3075,119,1,H77,H76,64
3075,27,1,H78,H77,65
3106,58,1,H79,H78,66
3106,16,1,H80,H79,67
3161,71,1,H81,H80,68
3161,28,1,H82,H81,69
3161,9,1,H83,H82,70
3206,54,1,H84,H83,71
3206,17,1,H85,H84,72
3206,13,1,H86,H85,73
3210,17,1,H87,H86,74
3252,59,1,H88,H87,75
3252,41,1,dealer_short,H88,76
3394,142,1,H90,H89,77
3394,58,1,H91,H90,78
3394,30,1,H92,H91,79
3394,22,1,H93,H92,80
3410,38,1,H94,H93,81
3434,24,1,H96,H95,82
3478,68,1,H97,H96,83
3672,194,1,H99,H98,84
3672,68,1,H100,H99,85
