G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.5591102293315697,14731.333333333334,1524,1524,1524,0,1,0,1524,2,1,,1,1
0,0.6773892368350527,14731.333333333334,2473,0,2473,0,2,1,0,2,1,,0,
0,0.5774494051745347,14731.333333333334,1649,0,1649,0,4,1,0,2,1,,0,
0,0.8445853393785444,14731.333333333334,5888,0,5888,0,5,1,0,2,1,,0,
0,0.7528668942093426,14731.333333333334,3462,0,3462,0,8,1,0,2,1,,0,
