P_prefix,amount,day,payee,payer,step
5,5,1,H13,H12,1
16,11,1,H28,H27,2
23,7,1,H63,H62,3
25,2,1,H78,H77,4
40,15,1,H88,H87,5
61,61,3,H6,H5,1
106,45,3,dealer_short,H25,2
110,4,3,H31,H30,3
289,179,3,dealer_short,H45,4
412,123,3,dealer_short,H55,5
444,32,3,H66,H65,6
489,45,3,dealer_short,H70,7
565,76,3,H76,H75,8
584,19,3,dealer_short,H85,9
594,10,3,H91,H90,10
607,13,3,H1,H100,11
49,49,5,dealer_short,H3,1
85,36,5,dealer_short,H23,2
96,11,5,H39,H38,3
124,28,5,H49,H48,4
151,27,5,dealer_short,H58,5
174,23,5,dealer_short,H68,6
192,18,5,dealer_short,H73,7
227,35,5,dealer_short,H88,8
23,23,7,H2,H1,1
114,91,7,H12,H11,2
120,6,7,H17,H16,3
168,48,7,H47,H46,4
222,54,7,H52,H51,5
292,70,7,H62,H61,6
303,11,7,H67,H66,7
333,30,7,H72,H71,8
361,28,7,H77,H76,9
438,77,7,H82,H81,10
58,58,9,dealer_short,H9,1
119,61,9,dealer_short,H14,2
188,69,9,H30,H29,3
193,5,9,dealer_short,H34,4
216,23,9,dealer_short,H39,5
363,147,9,dealer_short,H44,6
373,10,9,dealer_short,H49,7
438,65,9,dealer_short,H64,8
477,39,9,H80,H79,9
586,109,9,H95,H94,10
742,156,9,H100,H99,11
