run_id,phase,seed,n_agents,kappa,concentration,mu,monotonicity,maturity_days,Q_total,S1,L0,scenario_yaml,events_jsonl,balances_csv,metrics_csv,metrics_html,run_html,default_handling,dealer_enabled,status,time_to_stability,phi_total,delta_total,error
balanced_active_b37abddb8aac,balanced_active,42,100,0.25,0.2,0,0,10,10000,14999.99999999999999999999999,51875.00000000000000000000000,../runs/balanced_active_b37abddb8aac/scenario.yaml,../runs/balanced_active_b37abddb8aac/out/events.jsonl,../runs/balanced_active_b37abddb8aac/out/balances.csv,../runs/balanced_active_b37abddb8aac/out/metrics.csv,../runs/balanced_active_b37abddb8aac/out/metrics.html,../runs/balanced_active_b37abddb8aac/run.html,fail-fast,True,completed,1,0.09294550317619525242393848211,0.9070544968238047475760615179,
balanced_active_6318fefd3623,balanced_active,43,100,0.25,0.2,0.25,0,10,10000,14999.99999999999999999999999,51875.00000000000000000000000,../runs/balanced_active_6318fefd3623/scenario.yaml,../runs/balanced_active_6318fefd3623/out/events.jsonl,../runs/balanced_active_6318fefd3623/out/balances.csv,../runs/balanced_active_6318fefd3623/out/metrics.csv,../runs/balanced_active_6318fefd3623/out/metrics.html,../runs/balanced_active_6318fefd3623/run.html,fail-fast,True,completed,9,0.1842914438502673796791443850,0.8157085561497326203208556150,
balanced_active_af6a514d46d0,balanced_active,44,100,0.25,0.2,0.5,0,10,10000,15000.00000000000000000000000,51875.00000000000000000000000,../runs/balanced_active_af6a514d46d0/scenario.yaml,../runs/balanced_active_af6a514d46d0/out/events.jsonl,../runs/balanced_active_af6a514d46d0/out/balances.csv,../runs/balanced_active_af6a514d46d0/out/metrics.csv,../runs/balanced_active_af6a514d46d0/out/metrics.html,../runs/balanced_active_af6a514d46d0/run.html,fail-fast,True,completed,9,0.04380391894603089681000468135,0.9561960810539691031899953187,
balanced_active_037adc3ee4c1,balanced_active,45,100,0.25,0.2,0.75,0,10,10000,15000.00000000000000000000001,51875.00000000000000000000000,../runs/balanced_active_037adc3ee4c1/scenario.yaml,../runs/balanced_active_037adc3ee4c1/out/events.jsonl,../runs/balanced_active_037adc3ee4c1/out/balances.csv,../runs/balanced_active_037adc3ee4c1/out/metrics.csv,../runs/balanced_active_037adc3ee4c1/out/metrics.html,../runs/balanced_active_037adc3ee4c1/run.html,fail-fast,True,completed,10,0.04691259021651964715316760225,0.9530874097834803528468323978,
balanced_active_7d21671aa830,balanced_active,46,100,0.25,0.2,1,0,10,10000,15000.13066881029056707492937,51875.00000000000000000000000,../runs/balanced_active_7d21671aa830/scenario.yaml,../runs/balanced_active_7d21671aa830/out/events.jsonl,../runs/balanced_active_7d21671aa830/out/balances.csv,../runs/balanced_active_7d21671aa830/out/metrics.csv,../runs/balanced_active_7d21671aa830/out/metrics.html,../runs/balanced_active_7d21671aa830/run.html,fail-fast,True,completed,10,0.03215670544190399786067656104,0.9678432945580960021393234390,
balanced_active_c76253f6cf40,balanced_active,47,100,0.25,0.5,0,0,10,10000,14999.99999999999999999999999,51875.00000000000000000000000,../runs/balanced_active_c76253f6cf40/scenario.yaml,../runs/balanced_active_c76253f6cf40/out/events.jsonl,../runs/balanced_active_c76253f6cf40/out/balances.csv,../runs/balanced_active_c76253f6cf40/out/metrics.csv,../runs/balanced_active_c76253f6cf40/out/metrics.html,../runs/balanced_active_c76253f6cf40/run.html,fail-fast,True,completed,1,0.3091432011236706574811049428,0.6908567988763293425188950572,
balanced_active_59b162022a73,balanced_active,48,100,0.25,0.5,0.25,0,10,10000,15000.00000000000000000000001,51875.00000000000000000000000,../runs/balanced_active_59b162022a73/scenario.yaml,../runs/balanced_active_59b162022a73/out/events.jsonl,../runs/balanced_active_59b162022a73/out/balances.csv,../runs/balanced_active_59b162022a73/out/metrics.csv,../runs/balanced_active_59b162022a73/out/metrics.html,../runs/balanced_active_59b162022a73/run.html,fail-fast,True,completed,9,0.05771417106935063198020464122,0.9422858289306493680197953588,
balanced_active_4765a8727d91,balanced_active,49,100,0.25,0.5,0.5,0,10,10000,15000.00000000000000000000000,51875.00000000000000000000000,../runs/balanced_active_4765a8727d91/scenario.yaml,../runs/balanced_active_4765a8727d91/out/events.jsonl,../runs/balanced_active_4765a8727d91/out/balances.csv,../runs/balanced_active_4765a8727d91/out/metrics.csv,../runs/balanced_active_4765a8727d91/out/metrics.html,../runs/balanced_active_4765a8727d91/run.html,fail-fast,True,completed,9,0.1519893012370444667335339351,0.8480106987629555332664660649,
balanced_active_27d729205e63,balanced_active,50,100,0.25,0.5,0.75,0,10,10000,14999.99999999999999999999998,51875.00000000000000000000000,../runs/balanced_active_27d729205e63/scenario.yaml,../runs/balanced_active_27d729205e63/out/events.jsonl,../runs/balanced_active_27d729205e63/out/balances.csv,../runs/balanced_active_27d729205e63/out/metrics.csv,../runs/balanced_active_27d729205e63/out/metrics.html,../runs/balanced_active_27d729205e63/run.html,fail-fast,True,completed,10,0.06741573033707865168539325843,0.9325842696629213483146067416,
balanced_active_b78ad8efed64,balanced_active,51,100,0.25,0.5,1,0,10,10000,14999.99999999999999999999999,51875.00000000000000000000000,../runs/balanced_active_b78ad8efed64/scenario.yaml,../runs/balanced_active_b78ad8efed64/out/events.jsonl,../runs/balanced_active_b78ad8efed64/out/balances.csv,../runs/balanced_active_b78ad8efed64/out/metrics.csv,../runs/balanced_active_b78ad8efed64/out/metrics.html,../runs/balanced_active_b78ad8efed64/run.html,fail-fast,True,completed,10,0.2598140841302748612318598275,0.7401859158697251387681401725,
balanced_active_9a5b1bbc5a97,balanced_active,52,100,0.25,1,0,0,10,10000,15000.00000000000000000000000,51875.00000000000000000000000,../runs/balanced_active_9a5b1bbc5a97/scenario.yaml,../runs/balanced_active_9a5b1bbc5a97/out/events.jsonl,../runs/balanced_active_9a5b1bbc5a97/out/balances.csv,../runs/balanced_active_9a5b1bbc5a97/out/metrics.csv,../runs/balanced_active_9a5b1bbc5a97/out/metrics.html,../runs/balanced_active_9a5b1bbc5a97/run.html,fail-fast,True,completed,1,0.09860191317144959529065489330,0.9013980868285504047093451067,
balanced_active_b14c68f0b740,balanced_active,53,100,0.25,1,0.25,0,10,10000,15000.00000000000000000000001,51875.00000000000000000000000,../runs/balanced_active_b14c68f0b740/scenario.yaml,../runs/balanced_active_b14c68f0b740/out/events.jsonl,../runs/balanced_active_b14c68f0b740/out/balances.csv,../runs/balanced_active_b14c68f0b740/out/metrics.csv,../runs/balanced_active_b14c68f0b740/out/metrics.html,../runs/balanced_active_b14c68f0b740/run.html,fail-fast,True,completed,9,0.03183520599250936329588014981,0.9681647940074906367041198502,
balanced_active_23aaf4485908,balanced_active,54,100,0.25,1,0.5,0,10,10000,15000.00000000000000000000002,51875.00000000000000000000000,../runs/balanced_active_23aaf4485908/scenario.yaml,../runs/balanced_active_23aaf4485908/out/events.jsonl,../runs/balanced_active_23aaf4485908/out/balances.csv,../runs/balanced_active_23aaf4485908/out/metrics.csv,../runs/balanced_active_23aaf4485908/out/metrics.html,../runs/balanced_active_23aaf4485908/run.html,fail-fast,True,completed,9,0.02120259514413751588522506856,0.9787974048558624841147749314,
balanced_active_a65d6e6913cf,balanced_active,55,100,0.25,1,0.75,0,10,10000,14999.99999999999999999999998,51875.00000000000000000000000,../runs/balanced_active_a65d6e6913cf/scenario.yaml,../runs/balanced_active_a65d6e6913cf/out/events.jsonl,../runs/balanced_active_a65d6e6913cf/out/balances.csv,../runs/balanced_active_a65d6e6913cf/out/metrics.csv,../runs/balanced_active_a65d6e6913cf/out/metrics.html,../runs/balanced_active_a65d6e6913cf/run.html,fail-fast,True,completed,10,0.2128428093645484949832775920,0.7871571906354515050167224080,
balanced_active_6194aaddeffe,balanced_active,56,100,0.25,1,1,0,10,10000,14999.99999999999999999999998,51875.00000000000000000000000,../runs/balanced_active_6194aaddeffe/scenario.yaml,../runs/balanced_active_6194aaddeffe/out/events.jsonl,../runs/balanced_active_6194aaddeffe/out/balances.csv,../runs/balanced_active_6194aaddeffe/out/metrics.csv,../runs/balanced_active_6194aaddeffe/out/metrics.html,../runs/balanced_active_6194aaddeffe/run.html,fail-fast,True,completed,10,0.007623888182973316391359593393,0.9923761118170266836086404066,
balanced_active_148896c26a3c,balanced_active,57,100,0.25,2,0,0,10,10000,15000.00000000000000000000000,51875.00000000000000000000000,../runs/balanced_active_148896c26a3c/scenario.yaml,../runs/balanced_active_148896c26a3c/out/events.jsonl,../runs/balanced_active_148896c26a3c/out/balances.csv,../runs/balanced_active_148896c26a3c/out/metrics.csv,../runs/balanced_active_148896c26a3c/out/metrics.html,../runs/balanced_active_148896c26a3c/run.html,fail-fast,True,completed,1,1,0,
balanced_active_c18da76a2690,balanced_active,58,100,0.25,2,0.25,0,10,10000,14999.99999999999999999999999,51875.00000000000000000000000,../runs/balanced_active_c18da76a2690/scenario.yaml,../runs/balanced_active_c18da76a2690/out/events.jsonl,../runs/balanced_active_c18da76a2690/out/balances.csv,../runs/balanced_active_c18da76a2690/out/metrics.csv,../runs/balanced_active_c18da76a2690/out/metrics.html,../runs/balanced_active_c18da76a2690/run.html,fail-fast,True,completed,9,1,0,
