P_prefix,amount,day,payee,payer,step
47,47,1,H2,H1,1
87,87,1,H3,H2,2
87,31,1,H4,H3,3
200,113,1,H6,H5,4
200,57,1,H7,H6,5
255,112,1,H8,H7,6
255,67,1,H9,H8,7
255,35,1,H10,H9,8
255,33,1,H11,H10,9
269,47,1,dealer_short,H11,10
387,118,1,H13,H12,11
387,54,1,H14,H13,12
550,163,1,H16,H15,13
550,161,1,H17,H16,14
550,45,1,H18,H17,15
622,117,1,H19,H18,16
646,141,1,H20,H19,17
646,90,1,H21,H20,18
646,62,1,H22,H21,19
702,118,1,H23,H22,20
702,90,1,dealer_short,H23,21
867,165,1,dealer_short,H24,22
874,7,1,H27,H26,23
994,120,1,H29,H28,24
994,69,1,H30,H29,25
1062,137,1,H31,H30,26
1328,266,1,H33,H32,27
1381,319,1,H34,H33,28
1381,74,1,H35,H34,29
1387,80,1,H36,H35,30
1387,77,1,H37,H36,31
1387,30,1,H38,H37,32
1428,71,1,H39,H38,33
1428,24,1,H40,H39,34
1503,99,1,H41,H40,35
1503,71,1,H42,H41,36
1503,25,1,H43,H42,37
1536,33,1,H45,H44,38
1536,18,1,H46,H45,39
1538,20,1,H47,H46,40
1552,34,1,H48,H47,41
1555,37,1,H49,H48,42
1655,137,1,H50,H49,43
1655,11,1,H51,H50,44
1675,31,1,H52,H51,45
1747,72,1,H54,H53,46
1747,64,1,H55,H54,47
1868,121,1,H57,H56,48
1868,71,1,H58,H57,49
1868,68,1,dealer_short,H58,50
1978,110,1,H60,H59,51
2107,129,1,H62,H61,52
2134,156,1,H63,H62,53
2134,50,1,H64,H63,54
2134,32,1,H65,H64,55
2190,56,1,H67,H66,56
2190,51,1,dealer_short,H67,57
2296,106,1,H69,H68,58
2296,75,1,H70,H69,59
2375,154,1,H71,H70,60
2375,72,1,H72,H71,61
2375,33,1,H73,H72,62
2375,28,1,H74,H73,63
2411,64,1,H75,H74,64
2411,63,1,H76,H75,65
2411,46,1,H77,H76,66
2411,37,1,H78,H77,67
2411,33,1,H79,H78,68
2452,74,1,H80,H79,69
2467,89,1,H81,H80,70
2467,78,1,H82,H81,71
2467,36,1,dealer_short,H82,72
2611,144,1,H85,H84,73
2611,144,1,H86,H85,74
2611,71,1,H87,H86,75
2611,38,1,H88,H87,76
2611,9,1,dealer_short,H88,77
2686,75,1,H91,H90,78
2686,26,1,H92,H91,79
2794,108,1,H94,H93,80
2838,44,1,H96,H95,81
2838,34,1,H97,H96,82
2937,133,1,H98,H97,83
2937,17,1,H99,H98,84
2943,53,1,H1,H100,85
