P_prefix,amount,day,payee,payer,step
58,58,1,H3,H2,1
146,88,1,H8,H7,2
158,12,1,H13,H12,3
182,24,1,H18,H17,4
232,50,1,H23,H22,5
313,81,1,H28,H27,6
336,23,1,dealer_short,H37,7
363,27,1,H48,H47,8
442,79,1,dealer_short,H57,9
529,87,1,H63,H62,10
535,6,1,H68,H67,11
610,75,1,H73,H72,12
692,82,1,H78,H77,13
769,77,1,H83,H82,14
842,73,1,dealer_short,H87,15
885,43,1,H93,H92,16
121,121,3,dealer_short,H3,1
133,12,3,H9,H8,2
141,8,3,H14,H13,3
151,10,3,H19,H18,4
277,126,3,dealer_short,H23,5
445,168,3,H29,H28,6
537,92,3,H34,H33,7
570,33,3,H44,H43,8
580,10,3,dealer_short,H48,9
589,9,3,H54,H53,10
730,141,3,dealer_short,H58,11
778,48,3,dealer_short,H63,12
834,56,3,H69,H68,13
914,80,3,H74,H73,14
1013,99,3,H79,H78,15
1121,108,3,H84,H83,16
1231,110,3,H99,H98,17
127,127,5,H5,H4,1
173,46,5,dealer_short,H9,2
197,24,5,dealer_short,H14,3
210,13,5,H20,H19,4
333,123,5,H25,H24,5
360,27,5,H30,H29,6
421,61,5,H35,H34,7
629,208,5,dealer_short,H39,8
692,63,5,H45,H44,9
755,63,5,dealer_short,H54,10
873,118,5,H60,H59,11
877,4,5,H70,H69,12
970,93,5,H75,H74,13
1015,45,5,H80,H79,14
1053,38,5,dealer_short,H84,15
1088,35,5,dealer_short,H89,16
1091,3,5,H95,H94,17
1131,40,5,H100,H99,18
23,23,7,H6,H5,1
94,71,7,H21,H20,2
145,51,7,dealer_short,H25,3
189,44,7,H31,H30,4
216,27,7,H36,H35,5
431,215,7,H41,H40,6
446,15,7,H46,H45,7
455,9,7,dealer_short,H50,8
488,33,7,H61,H60,9
544,56,7,dealer_short,H65,10
643,99,7,dealer_short,H70,11
667,24,7,H76,H75,12
729,62,7,H81,H80,13
839,110,7,dealer_short,H85,14
930,91,7,dealer_short,H95,15
968,38,7,dealer_short,H100,16
7,7,9,H7,H6,1
204,197,9,H12,H11,2
206,2,9,H17,H16,3
225,19,9,H22,H21,4
373,148,9,H27,H26,5
456,83,9,dealer_short,H31,6
487,31,9,H37,H36,7
559,72,9,H42,H41,8
611,52,9,H47,H46,9
1026,415,9,H57,H56,10
1102,76,9,H62,H61,11
1234,132,9,H67,H66,12
1431,197,9,H72,H71,13
1477,46,9,H77,H76,14
1515,38,9,H82,H81,15
1696,181,9,H87,H86,16
1715,19,9,H92,H91,17
1911,196,9,H97,H96,18
