P_prefix,amount,day,payee,payer,step
68,68,1,H3,H2,1
106,38,1,H33,H32,2
129,23,1,H43,H42,3
160,31,1,dealer_short,H52,4
161,1,1,H63,H62,5
172,11,1,H73,H72,6
219,47,1,H83,H82,7
3,3,2,H12,H11,1
10,7,2,H22,H21,2
45,35,2,H32,H31,3
50,5,2,H52,H51,4
168,118,2,H62,H61,5
230,62,2,H72,H71,6
247,17,2,H82,H81,7
262,15,2,H92,H91,8
57,57,3,H11,H10,1
67,10,3,H21,H20,2
366,299,3,H31,H30,3
431,65,3,H41,H40,4
578,147,3,H51,H50,5
641,63,3,dealer_short,H60,6
652,11,3,H71,H70,7
663,11,3,H91,H90,8
664,1,3,H1,H100,9
51,51,4,H10,H9,1
58,7,4,H20,H19,2
100,42,4,dealer_short,H49,3
101,1,4,H60,H59,4
103,2,4,H70,H69,5
128,25,4,dealer_short,H79,6
136,8,4,H90,H89,7
33,33,5,H9,H8,1
39,6,5,dealer_short,H28,2
41,2,5,dealer_short,H38,3
45,4,5,H49,H48,4
184,139,5,H59,H58,5
198,14,5,H69,H68,6
203,5,5,H79,H78,7
215,12,5,H89,H88,8
452,237,5,dealer_short,H98,9
42,42,6,H8,H7,1
43,1,6,H48,H47,2
64,21,6,H68,H67,3
200,136,6,dealer_short,H97,4
2,2,7,H7,H6,1
91,89,7,H17,H16,2
94,3,7,dealer_short,H36,3
253,159,7,H67,H66,4
256,3,7,dealer_short,H76,5
397,141,7,dealer_short,H96,6
1,1,8,H6,H5,1
20,19,8,H36,H35,2
47,27,8,H56,H55,3
213,166,8,dealer_short,H65,4
285,72,8,H76,H75,5
705,420,8,H86,H85,6
935,230,8,dealer_short,H95,7
26,26,9,H5,H4,1
77,51,9,H15,H14,2
107,30,9,H25,H24,3
109,2,9,H35,H34,4
134,25,9,H85,H44,5
193,59,9,H55,H54,6
14,14,10,H4,H3,1
58,44,10,H14,H13,2
191,133,10,H24,H23,3
215,24,10,H34,H33,4
310,95,10,H44,H43,5
332,22,10,H86,H63,6
413,81,10,dealer_short,H73,7
420,7,10,dealer_short,H83,8
425,5,10,dealer_short,H93,9
