P_prefix,amount,day,payee,payer,step
52,52,1,H3,H2,1
55,3,1,H13,H12,2
147,92,1,H23,H22,3
354,207,1,H33,H32,4
415,61,1,H43,H42,5
510,95,1,dealer_short,H52,6
598,88,1,H63,H62,7
666,68,1,H83,H82,8
683,17,1,H93,H92,9
11,11,2,H2,H1,1
185,174,2,H12,H11,2
329,144,2,H22,H21,3
377,48,2,dealer_short,H31,4
426,49,2,H42,H41,5
604,178,2,H52,H51,6
727,123,2,H62,H61,7
1209,482,2,H72,H71,8
1258,49,2,H82,H81,9
1308,50,2,H92,H91,10
2,2,3,H11,H10,1
44,42,3,H21,H20,2
175,131,3,H31,H30,3
314,139,3,H41,H40,4
391,77,3,H61,H60,5
563,172,3,H81,H80,6
579,16,3,H91,H90,7
118,118,4,H10,H9,1
120,2,4,H20,H19,2
150,30,4,H30,H29,3
206,56,4,H40,H39,4
328,122,4,dealer_short,H49,5
492,164,4,H60,H59,6
524,32,4,dealer_short,H69,7
580,56,4,H80,H79,8
610,30,4,H90,H89,9
789,179,4,H100,H99,10
62,62,5,H9,H8,1
67,5,5,H19,H18,2
126,59,5,H39,H38,3
185,59,5,H49,H48,4
234,49,5,H59,H58,5
238,4,5,H69,H68,6
392,154,5,H79,H78,7
477,85,5,H99,H98,8
164,164,6,H8,H7,1
267,103,6,H18,H17,2
342,75,6,H28,H27,3
349,7,6,H38,H37,4
385,36,6,H58,H57,5
451,66,6,H68,H67,6
613,162,6,H78,H77,7
661,48,6,H98,H97,8
185,185,7,H7,H6,1
278,93,7,H17,H16,2
450,172,7,H27,H26,3
477,27,7,H37,H36,4
487,10,7,dealer_short,H46,5
497,10,7,H57,H56,6
498,1,7,H77,H76,7
515,17,7,dealer_short,H86,8
521,6,7,H97,H96,9
216,216,8,H6,H5,1
331,115,8,H26,H25,2
347,16,8,H36,H35,3
494,147,8,H46,H45,4
499,5,8,H56,H55,5
601,102,8,dealer_short,H65,6
602,1,8,H76,H75,7
761,159,8,H86,H85,8
793,32,8,H96,H95,9
71,71,9,dealer_short,H4,1
130,59,9,dealer_short,H14,2
145,15,9,H35,H34,3
172,27,9,H45,H44,4
277,105,9,H55,H54,5
408,131,9,H65,H64,6
412,4,9,H75,H74,7
450,38,9,H85,H84,8
27,27,10,H4,H3,1
30,3,10,H14,H13,2
31,1,10,dealer_short,H23,3
149,118,10,H34,H33,4
153,4,10,H44,H43,5
457,304,10,H54,H53,6
473,16,10,H64,H63,7
512,39,10,H74,H73,8
595,83,10,H84,H83,9
627,32,10,dealer_short,H93,10
