G_t,HHIplus_t,M_t,Mbar_t,Mpeak_t,S_t,alpha_t,day,delta_t,gross_settled_t,n_creditors,n_debtors,notes,phi_t,v_t
0,0.08360400789034873,14375,1374,0,1374,0,1,1,0,13,10,,0,
0,0.08834279077292899,14375,1664,0,1664,0,2,1,0,13,10,,0,
0,0.1044494806851312,14375,1568,0,1568,0,3,1,0,13,10,,0,
0,0.08558103492652429,14375,1347,0,1347,0,4,1,0,13,10,,0,
0,0.09326057909711084,14375,1282,0,1282,0,5,1,0,13,10,,0,
0,0.08353147046362984,14375,1165,0,1165,0,6,1,0,13,10,,0,
0,0.09154608177400736,14375,1930,0,1930,0,7,1,0,13,10,,0,
0,0.08661520559843978,14375,1419,0,1419,0,8,1,0,13,10,,0,
0,0.09199445994612566,14375,1647,0,1647,0,9,1,0,13,10,,0,
0,0.08897889255291731,14375,1556,0,1556,0,10,1,0,13,10,,0,
