run_id,phase,seed,n_agents,kappa,concentration,mu,monotonicity,maturity_days,Q_total,S1,L0,scenario_yaml,events_jsonl,balances_csv,metrics_csv,metrics_html,run_html,default_handling,dealer_enabled,status,time_to_stability,phi_total,delta_total,error
balanced_active_1803b5543cbe,balanced_active,42,5,0.25,0.2,0,0,10,10000,15000.00000000000000000000000,52499.99999999999999999999999,../runs/balanced_active_1803b5543cbe/scenario.yaml,../runs/balanced_active_1803b5543cbe/out/events.jsonl,../runs/balanced_active_1803b5543cbe/out/balances.csv,../runs/balanced_active_1803b5543cbe/out/metrics.csv,../runs/balanced_active_1803b5543cbe/out/metrics.html,../runs/balanced_active_1803b5543cbe/run.html,fail-fast,True,completed,1,1,0,
balanced_active_b989bfa78007,balanced_active,43,5,0.25,0.2,0.25,0,10,10000,15000.01796328173601348000250,52499.99999999999999999999999,../runs/balanced_active_b989bfa78007/scenario.yaml,../runs/balanced_active_b989bfa78007/out/events.jsonl,../runs/balanced_active_b989bfa78007/out/balances.csv,../runs/balanced_active_b989bfa78007/out/metrics.csv,../runs/balanced_active_b989bfa78007/out/metrics.html,../runs/balanced_active_b989bfa78007/run.html,fail-fast,True,completed,9,0,1,
balanced_active_91b27551f631,balanced_active,44,5,0.25,0.2,0.5,0,10,10000,15000.00000000000000000000001,52499.99999999999999999999999,../runs/balanced_active_91b27551f631/scenario.yaml,../runs/balanced_active_91b27551f631/out/events.jsonl,../runs/balanced_active_91b27551f631/out/balances.csv,../runs/balanced_active_91b27551f631/out/metrics.csv,../runs/balanced_active_91b27551f631/out/metrics.html,../runs/balanced_active_91b27551f631/run.html,fail-fast,True,completed,9,0,1,
balanced_active_14aa711196d1,balanced_active,45,5,0.25,0.2,0.75,0,10,10000,15000.00000000000000000000000,52499.99999999999999999999999,../runs/balanced_active_14aa711196d1/scenario.yaml,../runs/balanced_active_14aa711196d1/out/events.jsonl,../runs/balanced_active_14aa711196d1/out/balances.csv,../runs/balanced_active_14aa711196d1/out/metrics.csv,../runs/balanced_active_14aa711196d1/out/metrics.html,../runs/balanced_active_14aa711196d1/run.html,fail-fast,True,completed,8,1,0,
balanced_active_300f111c7d72,balanced_active,46,5,0.25,0.2,1,0,10,10000,15000.00000000000000000000000,52499.99999999999999999999999,../runs/balanced_active_300f111c7d72/scenario.yaml,../runs/balanced_active_300f111c7d72/out/events.jsonl,../runs/balanced_active_300f111c7d72/out/balances.csv,../runs/balanced_active_300f111c7d72/out/metrics.csv,../runs/balanced_active_300f111c7d72/out/metrics.html,../runs/balanced_active_300f111c7d72/run.html,fail-fast,True,completed,10,0.1271502867048939858647819709,0.8728497132951060141352180291,
balanced_active_41803e93f627,balanced_active,47,5,0.25,0.5,0,0,10,10000,15000.00000000000000000000000,52499.99999999999999999999999,../runs/balanced_active_41803e93f627/scenario.yaml,../runs/balanced_active_41803e93f627/out/events.jsonl,../runs/balanced_active_41803e93f627/out/balances.csv,../runs/balanced_active_41803e93f627/out/metrics.csv,../runs/balanced_active_41803e93f627/out/metrics.html,../runs/balanced_active_41803e93f627/run.html,fail-fast,True,completed,1,1,0,
balanced_active_f6d9f090be28,balanced_active,48,5,0.25,0.5,0.25,0,10,10000,15000.00000000000000000000000,52499.99999999999999999999999,../runs/balanced_active_f6d9f090be28/scenario.yaml,../runs/balanced_active_f6d9f090be28/out/events.jsonl,../runs/balanced_active_f6d9f090be28/out/balances.csv,../runs/balanced_active_f6d9f090be28/out/metrics.csv,../runs/balanced_active_f6d9f090be28/out/metrics.html,../runs/balanced_active_f6d9f090be28/run.html,fail-fast,True,completed,9,1,0,
balanced_active_4134a5e35c69,balanced_active,49,5,0.25,0.5,0.5,0,10,10000,14999.99999999999999999999999,52499.99999999999999999999999,../runs/balanced_active_4134a5e35c69/scenario.yaml,../runs/balanced_active_4134a5e35c69/out/events.jsonl,../runs/balanced_active_4134a5e35c69/out/balances.csv,../runs/balanced_active_4134a5e35c69/out/metrics.csv,../runs/balanced_active_4134a5e35c69/out/metrics.html,../runs/balanced_active_4134a5e35c69/run.html,fail-fast,True,completed,9,0,1,
balanced_active_a8d2f193e6bc,balanced_active,50,5,0.25,0.5,0.75,0,10,10000,15000.00000000000000000000000,52499.99999999999999999999999,../runs/balanced_active_a8d2f193e6bc/scenario.yaml,../runs/balanced_active_a8d2f193e6bc/out/events.jsonl,../runs/balanced_active_a8d2f193e6bc/out/balances.csv,../runs/balanced_active_a8d2f193e6bc/out/metrics.csv,../runs/balanced_active_a8d2f193e6bc/out/metrics.html,../runs/balanced_active_a8d2f193e6bc/run.html,fail-fast,True,completed,8,1,0,
balanced_active_37f39bf6776f,balanced_active,51,5,0.25,0.5,1,0,10,10000,15000.00000000000000000000000,52499.99999999999999999999999,../runs/balanced_active_37f39bf6776f/scenario.yaml,../runs/balanced_active_37f39bf6776f/out/events.jsonl,../runs/balanced_active_37f39bf6776f/out/balances.csv,../runs/balanced_active_37f39bf6776f/out/metrics.csv,../runs/balanced_active_37f39bf6776f/out/metrics.html,../runs/balanced_active_37f39bf6776f/run.html,fail-fast,True,completed,10,1,0,
